hot_diggity_d, honestly would ive seen first hand effect drugs alcohol depression
KentWGraham, cumin turmeric saffron theyre making sad seasonal depression
moses_ross, suffer mental health depression done 10 ye
suehard, thankyou sides ex nurse drug counsellor long term depression learnt much piece
harleynurse2010, post depression era anymore burger flippers want 15ph
scrubblets, first time depression 1st doc think head shit 2nd youre
crystal1sed, 00001 time drowning thoughts depression comes back wonder survive  reason depression yes know thats reason right mum  also learnt someones actions hurting enough cause depression come back dont need  resonate hannah share something common suicide teenager high school battl
marieallred_, love ive never felt lost marie allred whatyoudontsee mentalhealth healthyfood  stand moved lifehouse mentalhealth healthyfood  anxiety monster whatyoudontsee mentalhealth healthyfood depression anxiety copingskills mentalillness  really mentally ill whatyoudontsee mentalhealth healthyfood depressionanxiety copingskillsmentalilln  forgiving leaving past mistakes past whatyoudontsee mentalhealth poemaday mentalillness  suicide prevention suicideprevention choosetostay mentalhealth mentalillness  open letter excutters okay miss cutting cutting mentalhealth depression mentalillness selfharm  beyond therapy writing emotional detox lead better path  bellletstalk speakup mentalhealth  friend join conversation save lives stop stigma bellletstaik
sirhcmstrongman, havent able chat twitch lately shrugs depression really go
tapaimalaya, muar lebih relax melaka ramai tourist stress
johnnyseocute, cant wait semester rewatch moon lovers whole week depression crying
joeypereira19, tfw stormzy guest lesoco guest depression smh  depressed year ago
IAmN1GHTMAR3, five years ago would crippled depression would given things even tried  depression absolutely ruining life week
softieliu, advanced social anxiety little mistakes like typos unintentional word choices anything
sasuchi95, artists boss ok rules simply commission stress stress urself
tbriscoe, gone depression anxiety issues still deal anxiety answer
strawbrrymjolk, wow queen exol everhone bts stan sis say stan exo dont ever rlly fuck  programmed dance bts maam  gn ed twt baekhyun cutest 99 yall bts stans thats annoying nd bsic one stans anyone else  honestly maybe true really wish could commit suicide  like depression family problems reality maybe something fate im blaming ev  felt lighthearted heard cant even commit suicide tf supposed cant anything life  btw whole thing armys try take away bts koreanness cheer westernized lo  stan bts korean pop aka kpop group yall kpop pop korean language usually fr
maweirdoo, life update still potato developing mild anxiety think depression wallowing self doubt uninspi  cat stay stress free
oliverQsacco, first girlfriend committed suicide im adamant prevention  birthday 1230 im going post donation thing facebook suicide outreach stuff im
Swilua, moved sea level utah depression went away would get happy discernible
ChibiHeartLuna, justshowerthoughts people anxiety basically way aware alive
ShonziTho, post gig depression  post gig depression the1975
PoemsFromAMod, exactly none us asked trauma past present judge  im def going check thanks much information trauma compounded  sounds amazing ive therapy months many traumatic events  tre therapy  thank youonce managed get pain heart result multiple trauma realised  worked conjunction local organisation called stigma free lanarkshire ai  suffer depression part recovery writing poetry released book poems yesterda  hi srnjohnm kindred soul download poems mod journey trauma survival  hi martin im survivor lifetime trauma ive released book poetry called poems  hi ms keyes im survivor lifetime trauma mh issues despite ive released book poetry  hi mr fry im survivor lifetime trauma severe mh issues despite ive released book  hi mr laurie im survivor lifetime trauma suffered badly mental health ive released bo  im survivor lifetime trauma ive released book poetry called poems mod journey  im survivor lifetime trauma ive released book poetry called poems mod journey  im survivor lifetime trauma ive released book poetry called poems mod journey  im survivor lifetime trauma ive released book poetry called poems mod journey  im survivor lifetime trauma ive released book poetry called poems mod journey  im survivor lifetime trauma ive released book poetry called poems mod journey  im survivor lifetime trauma ive released book poetry called poems mod journey  poems mod joiurney trauma survival recovery available download free  day release poems mod journey trauma survival recovery set poem  day release poems mod journey trauma survival recovery  day release poems mod journey trauma survival recovery
shalomah98, battling depression suicidal thoughts years amount trauma endured  going therapy actually therapeutic pun intended act going therapy paying  deal depression winter
stephanie_kanee, depression dou futilité cest une maladie thanks rest lots love
Radichills, anxiety depression seem epidemic comes creatives felt long time want
thelesserlucy, went therapist yesterday got diagnosed apparently depression anxiety well really low se
nathan_tryon, today weird combination boredom anxiety top  holly fuck currently stressing general reason hate anxiety attacks suck screw dont care  seasonal depression make feel beautiful season fall  seasonal depression sucks  admit mentally im much better day today mind longer cloudy depressed ill give days tops  friends crippling depression question like tried depression  yeah im tough day though anxiety bet nothing compared going im sorry  im feeling drowning stage anxiety attack  cat performance anxiety eats totally relate
KAREink, took years figure seasonal depression sleep 10 12 hours sometimes darkne  sending lots good vibes luckily seasonal depression figuring fight  anxiety chibi girl trying function im actually well right like doodling stressed  good luck job need anxiety ramble anytime traveling always stressful alone  anxiety looking many people nice flow
fuckindudebitch, hey anxiety depression often end 3rd situation know unfair one talk  tw suicide je veux mourir je suis une malédiction jempeste je salis tout je perd tout  ptn mais les deux versions sont giga cool elle abuse de fou de te faire perdre ton temps comme ça
Cachella_Smith, depression shared liked commented via
elora_lynn, wish didnt depression want bf proud
handbagofglory, strangely serious episode anxiety depression decided reconnect ol
ShoriwaC, ever hear kuti depression bcoz jose amp boys  kunonzi kumbo bvisa stress dze upenyu
thegoodlimbo, great blog post written anonymous member experience bpd read  nobody chooses depression help many people learn manage depre  im really sorry hear response somebody anxiety really debilitating  hi bri really relate everything youve said anxiety grows irrational  hi support around help find ways manage anxiety reall  sorry hear katie understand physical symptoms anxiety really rough  hi may sorry hear youre suffering anxiety ever want direct thoughts  lots information variety common mentalhealth problems anxiety depression bpd  hey valerie calming techniques help manage anxiety sorry hear  hey ethan sorry hear rough night anxiety support help man  ever practiced grounding techniques help calm anxiety finding works  good goals right hope find way manage depression anxiety works  glad hear made feel lot better take medication anxiety shame  hi jessica im sorry hear youve struggling anxiety lately anybody help  hi maddie really tough combat overthinking intrusive thoughts anxiety yo  hi rose im sorry hear bad day work anxiety attack anxiety common thing  hi anxiety issues phonecalls definitely hard sometimes helps write  hi molly hope youve realised manage get support need get anxiety  guess least experience base presentation hope anxiety settles bit  hey techniques help manage anxiety always around want chat  hi brigitta sorry hear bad year anxiety support aroun  trying sometimes support help manage anxiety atta  understand difficult make phone calls youre struggling anxiety  sorry hear youre struggling anxiety right cait calming techniques  good description right molly im sorry youre struggling anxiety makes life  sorry hear impacting sleep hailey support help manage anxiety  difficult things youre struggling anxiety hope works ever  peer support site collaborative blog mentalhealth latest post pill shaming yo  sorry hear youre hard time right anxiety makes stomach bladder uneasy  sorry hear youre hard time anxiety right hard find right  im sorry hear youre suffering insomnia result anxiety calming  youre weird emma get anxiety anxiety makes bladder play  sorry hear anxiety getting way sleep amy support help yo  curse brain anxiety chest hurting giving  im sorry hear youre experiencing anxiety jennifer description apt  sorry hear anxiety playing theres anything even  sorry hear brooke anything helps ease anxiety always around youd like chat  sorry hear youre struggling anxiety today youd ever like talk get distra  sorry hear youre struggling anxiety support around help get thr  im sorry hear youre struggling anxiety support around help  im guessing fair fan new things learn middle public whilst trying anxiety attacks  sorry hear anxiety high right calming techniques find helpful  hope manage good time despite anxiety susie theres nothing wrong staying hom  struggling mentalhealth sometimes turn alcohol cope loved one may struggling  good job ericka travel huge issue anxiety problems  hey paige sorry hear youre struggling depression well tweet instead say  im sorry hear anxiety attacks stopped sleeping tiredness way making th  im sorry hear anxiety problem support help manage alw  sorry hear crystal plus side great night anxiety cant take aw
deltaofvenus_, finish phd get depression anxiety find postdoc become financially emotionally stabl  dont much show incessantly boast substance abuse surefire way garner attention  feminist depressed asses exactly need
heyydanielll, know depression saw therapist years ago started back
heauxxart, diagnosed depression aha
kumari_strong, remember last time coming long bout depression good mood cleaning  everytime come home get anxiety
cutekimlip, dare someone tell bts arent hard working amazing performers deserve awards show performance  realized ive stanning bts months oh wow  really miss everyone reason postconcert depression god cant wait hang ou  missed aaas yesterday tbh glad cos got watch bts performance cant believe
kanonmatsubara_, depression im unloveable dab
PixelPaege, cant stop feeling isnt choice cant stop depression else
LauSamanthalau, resilience nick ut nickut vietnamwar resilience ptsd photographer mentalhealth trauma connect  else 20 min appt enhance compliance patients face challenging conditions like ptsd  mentalhealthawareness wellness mindfulness wellbeing calm life questions  see makes smile today smile happy mentalhealth quebec  kind intention primes mind interpersonal connections mentalhealth kindintention middleschoolfriends  recognition suicide prevention week nimh hosting facebook live event friday september 14th dr josh  good morning lets laugh little banana lady wish good laughing today mentalhealth wellbeing  right need see mentalhealth publichealth part daily conversations  ending day quote thats ringing truth meditation listen mentalstrength mentalhealth
annabunnyxo, ive decided celebrity crush ryan reynolds mostly terrible social anxiety  wonder extra would didnt depression
wardyboy1989, fair pay mate im going horrible situation depression finding hard deal
Manlikedeji, used emojis life always laugh cry make go enter depression
zusmaryusep, self confidence dectated much money broke depression
David_Minchella, depression havent seen closely enough ct citys training ground see
RudeAssBiotch, still gonna fucking best doesnt mean dont get depressed bad days  txt icyhot mean im going therapy anger managment annoying idk could probably
HollowmanDan, suffered depression adult life recently diagnosed  snap depressed someone friend ex  little anxious heading london family birthday first time london since social anxiety  youre alone feeling wayi dont like version anxiety depression hav  yes ive struggled depression adult life anxiety issues past year  people fickle lot ignorant depression anxiety actually und
yasirwattu, wow amazing read first paragraphs really impressed studied psychology  many predent like behave way avoid depression sometimes works
cathpolymonster, unexpected downside new boy doesnt let retreat safely salty depressed darkness  best human ever made reach parts brain damaged depression im glaring  commuting suicide back january really bad call part  look really tired depressed feel really tired depressed  like happy realized bought like 100 dollars worth stuff like thats retail therapy lok
indithestrange, hello late request tomorrow anxiety depression anymore pto call sick stress
VProofreader, hm well yeah works apart occasional coke habit suicide attempt  tv show bipolar seeing psychiatrist really stand offish ab  thought brave honest talking depression must really
distillledblood, average life expectancy literally falling year bc suicide rates ya kno everything fine  gooooood morning guys kidding 230am bc depression woke 11pm  remember wasnt dying depression back 2016
GothMexican, ok im gonna blame seasonal depression lack motivation draw gotta blame somethingsomeone  sometime summer started feeling better something clicked yes still anxiety depression  mom even depressed
is_richie_ok, ffs really need sleep better actual meals depression got sleepy time days  good luck get fucking break dont let abuse
essentialtoils, yo fuck depression mean even  depression taking quite dive lately making inkling nerves fear failure  depression tight money bad combo could really use day workbut dont wo  im considering telling ex hurtful suggested go therapy fix asexuality sti  maybe really could use therapy cope asexuality case couldnt tell really fucks  someone tells theyre ace reason suggest therapy could use learn  heres free advice someone tells theyre ace dont tell try going therapy erase  told ex might ace suggested go therapy fix probably hurtful thing  going grocery shopping depression hard cuz like hmmmm need food bc food sounds good  feel depression funk coming onnnnnnnnnnnnn
jaredo_o123, finished watching kon biggest depression human get  added video playlist twenty one pilots heathens suicide squad album official
jinsrosas, whats favourite bts title track run fake love tied  favourite song thats hard ive found top songs autumn leaves bts epiphany jin  ever like bts show high level talentry ans ur like cant real cnt  every time bts amaze talent even though already knew talented  bts insert marry_me_right_now_or_im_diemp4  sound like every army ever imagine stanning bts smh  love bts much  djsnffndnfndndj amount retweets dndngndngnr shaking csnt even tweet bc bts performance still  dream came school like one kids showed class bts
Luciek11K, feeling pretty crap mentalillness  lost jobcareer due mentalillness trying set working home dog mindingeasi  never thought health anxiety fear anything throat sense  mentalillness daily whirlwind trying ok pretending ok trying assess current level  please stop calling child pornography images child abuse nothing else
tuxication, parents suffer depression always helpful family fr  depression
kinginamocha03, nobody cares depression commit suicide  oh gpd pss hug depression killing oh lord help dont know end story im
gillianeliora, deserve world matter bad gets please hang depression mu  left short voicemail depression voice shaky cause get nervous phone wante  hey song suicide pact seventh grade boyfriend
petercoffin, person adhd making content let say thank much take criticism like th  thats sleeping long came exact situation depression work night id get
JulianMauricio, case people trigger bpd quickly intensely mothers side  ive felt way times count remember bpd trick feeling like weight  dont know well feel certain kinship bpd ive  thanks man someone bpd anxiety depression ocpd im always need remind
fire_ish, dont necessarily feel sad depression bad anxiety manifested eat
galaxyclutter, ya bitch going date next friday guess coffee depression gonna take backseat  got wrong coffee im fucking depressed
khaleesi_britt, also people telling shouldnt depressed goodyeah make
anxiety_donor, think coping mechanisms depression anxiety exhausted except trying maintain  tmbg voice anxiety pills anxiety pills getting flying automobiles big plane crash important anxiety pills
dana_m43, burning sensation muscles twitching going ham workout officially stress free
kashoottmyself, theres different severity levels depression mild moderate severe moder
_jodesss, sick people using depression excuse life witnessed depression first hand several times
SweetLouStrauss, holidays special time year get sad depressed sure born first place  alzheimers andy  less anxiety jesus christ give ablilty world want less anxiety man
StardustEtoile, dont discount friendship abuse lesser hurts friend guts  one day peace witness let abuse happen feel helplessness felt call  every single person held accountable reporting abuse told 20082010  westcary publicschool trauma ableism knew got away family medicaid  afraid interact people admire say anything going annoy god social anxiety sucks
beachsoscoven, nah hands best song hey look crippling depression welcome raining parade
KINGJAQ2, bullshit ass depression anxiety want life without
recklessnspite, always look back high school years diagnosed depression think wouldnt  also dont want friends know psychotic depression honestly mentally ill person
N0VAFPS, depression give attention pay attention got temptation like station lil nav coming 2020
ASAPVEE__, ive come far escaped loop depression doubts anger insecurities man life good apprecia  officially stress free problems month feel good light self talks great need
Sojaknabe, felt bad often expressed ungratefulness depression jus
jaaaypineda, fight mental health awareness breaking stigma sometimes dont even notice us  friend whos diagnosed depression told two us friends left
CoolStoryLu, depression takes away heart
SheilaBran, jeffrey epstein could gone prison rest life serial sexual abuse instead nowlabor secr
AQuangtink, feel like im gonna depression
FrankUckerman, wanted let know empathize also suffer depression past
James_D_Allen, ive thinking depression lately always sad word common feeling
goldsworth_saga, video gives anxiety little man doesnt seem safe  explain lin manuel miranda hugely bc im still alive managing depression
TriaRyder, hi awhile back saw recommend something depression didnt save
HeyStepha, struggles best word could come safely managing anxiety depression
Cloeythecat91, depression hits like train full speed deal alonethere one talk nig  hate cold depression hits bed likewhy try let  lick street smart looking maps public transit gives hella anxiety looking st
marbles2018, ive depression previous wanted harm yes ill use harm word cos know  express feelings im fully open depression im going told im  anxiety depression chose ask mom take charge folk cause problems  due ftm new gp surgery causing stress contacted gmc say dont pr
divinemorality, heregoesnothin best never shout never song literally makes feel like im depressed
gagareasons, feel depression since 11 thank much really means lot  depression hitting hard today say something make feel better love
gwendolyn_fs, ever run president slogan along lines depression ill beat recession sounds ight  stress crazy know need nutrition food makes gag
momotaeil, mia account omg im sorry im sick school depression beating
wereatadeadend, could sleep night maybe wouldnt depressed  gone dark side tweet pain depression dont wanna see tweets unfollow gn  wanna right different songs less depression heartbreak idk start  want able talk suicide suicidal urges without judgement stigma making taboo helping anyone struggling
Neekems, ill completely honest pretty bad seasonal depression goes away stream cant  ill one stream twitchcon hopefully beat lis bts bioshock tomorrow leave  actually meet twitchcon remember pretty bad social anxiety seem overwhelmed stressed probably lt3  live life strange bts  im suffering schizophrenia bipolar anxiety amp depression dont let hold back diagnosis
ayan0_tateyama, almost year since depression hit last december pain cant cured
Apie, almost sexual abuse come across situations ideology virtue signalling lead peo
_lizannn, anxiety got sick fuck rn  swear move back home im lose weight ive slacking cause depression anxiety  anxiety getting bad cant sleep sleep nightmares  depression shit sucks man happy day boom outta nowhere im sad whyyyyyyyyy  anxiety makes try anyways point self destruction  sameeeeeee also want someone help deal anxiety understanding wants act
BentBlueBeth, stay alive mentalhealthawareness mentalhealth  physical therapy hand killer say oh thing faced born way foundat  depression quietly creeps silently swallows every tiny part icy breath
_Blavie, like depression really waste years life one pull shit one could
illuvane, awe sorry sweety depression life sucking vamp 9_9 hope havefind good coping mechanisms
SuicidalSheep87, absolutely right diagnosed depression anxiety since im 17  gang yet bullying person im calling suicide someday
brittanylynnnn_, literally one talk days im going back deep dark hole depression bye
Tbest__10, depression something thought id never
SaberSSB, ive always felt like depression really misunderstood ton people people sad lot ca
peachylucente, aint one guy bts  hi yall stop quoting tweet shitting bts literally one asked ugly anyways stream ap  hey id appreciate didnt quote tweet negativity abt bts thx lt3
mylifeselftrut1, spent much time helping others amp strong yet know ive got depression see  since mentalhealth decline ive feeling lot anger anyone ever tried hypnotherapy anything pl  positive thinking trying struggle shut things head mentalhealth positivethinking  wake tired mentalhealthmatters mentalhealthawareness struggling mentalhealth exhausted  mentalhealth mentalhealthawareness itsoknottobeok selfcare please feel free rt struggling
makia_hughes, happiest person could drowning depression smiling yet thoughts suicide god loves us
adrianlowercase, rly love accounts post rappers paid promo rapping depression  whats psychology behind always looking someones story following even rly knowing  gives anxiety
_alisonsophia_, period cramps depression
Anubis213_, ones delusions get thoughts im depressed manic hypomanic delusions carr  adhd universities accommodate seek happens multiple disorders layer  talk bipolar often despite repeated attempts take im quite fond  cant homework adhd ass wont stay still know people afab assigned female  everyone come game bed depressed everyone itll fun promised wouldnt  unsubscribe depression
jvgilson, mentally ill suffer ptsd soni group convicted domestic violent people convicte
ZeyphrusVC, vibe night slip brooding depression might found ive depresse  nothing like okay day knowledge friend may committed suicide day utterly crush
Aquamarinelove, therapy put work call sane come thank god went  light therapy looking grow hair faster lol need keep sealing watch
TreesaBeee, money lost whole wallet winter boots snow climax month depression well  havent many panic attacks week long time yay depression anxiety incurable menta  calling high ass little sister 18th birthday tell stress free options getting  hey anxiety would like know ill able sleep 3am night soon curious  like delt depression anxiety dark dark times watching matter  footage trying beat seasonal depression already sneaking
urmysoulmateari, im sick depressed pissed working essay due tonight hows ur life going  apologize depression hate people jus gonna go cry brb  guys didnt drink iced tea work today didnt get anxiety making progress
foraestheticbot, sometimes crippling depression purely aesthetic  took psychology aesthetic  took psychology aesthetic  crippling depression aesthetic  crippling depression aesthetic  took psychology aesthetic  sometimes crippling depression purely aesthetic  crippling depression aesthetic  took psychology aesthetic  crippling depression aesthetic  took psychology aesthetic
coffeeandvi, hang youre alone depression since 15 years see therapist ye  anxiety kill one day omg right would like hit car whatever dont want  anxiety game bastard
kvninva, listening lana del rey knowing crippling depression anxiety one minor inconvenience could cause  like ever good meme ready tweeted years depressed alcoholic despite onl  playlist feeling bipolar one song im listening california king bed next thing know im listening man
KalebPrime, wonder rations physical abuse cause shortage know amoun  pizza depression also stopped football karate moved shit city long time ago  fuck wonder im somewhere xl xxl depression pizza
Its_Lana17, ive depressed forgot positive things year first graduated college came ou  define words depressed dumb bitch  always proud today ran let depression drown changed  take mind depression
Gwydhar, molt every seven years fall deep depression im due
tofuprincess99, hey guuuuyyyyys slept 19 hours depression coma im back better ever wants political debate  pussy tastes like depression  really makes depressed  depression coma shes missing goofy goober hour  hate depression  ayo tiddies big big weed addiction  teen committing suicide old person getting euthanized
fucktollroads, literal stress dream going sephora able find right shade concealer  okay yes anxiety keeps awake dont night terrors nightmares get hot  agree take care kids give fuck health emotional wellbeing
elizabethkyline, currently stan bts stray kids black pink gidle seventeen got7 loona red velvet izone pe  ewan ko ba days im hyped days im effin depressed maybe psychologist didnt see actually bipolar oof  best people life ones would make smile laugh point youd forget youre clinically depressed oof love guys  wasnt months nobody realized suicide kicked  one days suicide sounds good  since youre way ill stay away ill let waters depression enable difficulty breathe  would give well last key last rope last exit last path depression  lowkey want mashup macklemores thrift shop bts idol sax getting vibe  save im fine bitch consider dead bts  mama ipapapunta kita sa concert ng bts pag wala pang klasefirst week pa lang mataas grades mo hindi yan nag  pampawalang stress gc ng boni hahahahahaha
elifofeli, couple therapy weird like cant solve ur problems alone need therapy remember love
Melanie_K_Brown, know text home 741741 feeling depressed suicidal crisis worker text  get im proud say see improvement depression thank go  jasam permanent reunion honestly depression improved since  honestly nearly depressed since return
safphic, love wont feel like work yeah youre depressed getting bed feels like work  realizing passions interests probably depression
PorQueGerald, depression 1000 today say  cant believe diagnosed ptsd  realizing whole world full depression anxiety kind makes feel little bit normal
LizardSwimming, times life ive climbed pit free confessions depression  engage adult adhd beyond usual listicles docs focused treating diagnoses  ive known ive suffered depression decades im learning bpd amp adhd playing big par  takes functioning person day accomplish take month seriously weekly therapy homework hahah  found ruminating symptom mental illness amp actual inner voice depression bpd  new meds today new side effects depression mentalhealth  think helping please dont take problems like think depression twitter  even survive depression amp borderlinepersonalitydisorder still manage migraines twice month  affirmations make feel invalidated like im depression wrong somehow dont help dont  lot dbt advice might sound superficial restricting even harmful ppl dealing bpd important  oh wow intrusive thoughts dug tonight breathe hold really wish sleep would hurry fuck depression mentalhealth  day writing tweet guess im gonna count based tweets days hard check sometimes 365daysofselfcare depression  wish depression anonymous thing like im hard time today time go meeting depression mentalhealth  im finding lot problems blamed depression actually add thats kinda good news think depression add  mmmm end daylight savings time day remember things going get harder next months depression  people actually want get better cuz dont depression mentalhealth  ok time try mental health account fingers crossed anxiety doesnt get one mh anxietyproblems depression
sheluvsjake, dont need read article know depression stems
GoshRae, im sorry struggle heavily depression know exactly tiring im
Acccent, mean fair seems like everyones gotten kids depression robots god righ
daltr0n, depression anxiety motherfucker man fuck reason freaking right
NinaModaffari, definitely bit jarring youre yanked around depression  really weird long period things going wrong terrible depression tothings reall  couple months ago without job depressed feeling lowest im thankful encourage  mists one favorite expansions really depressed quested karasang
ninaaaa_x, diagnosed bipolar major depression anxiety fucking exhausting least 1234  dont anxiety medicine going rough days
natatree, conversation day depression etc amp told good still things youre pas  im depressed fuck weather isnt helping ive cried numerous times today findout dearly
NaoPaige, friend real life selfharm issues shes also got depression anxiety wan  whenever phone rings idk pick anxiety wont let
kelsjargon, bts  number assignments completed turned week alone depression shaking  bts  yall thought tweet gonna abt bts sike appreciating dad hours  good morning love bts  constantly im bad btch dont care anxiety right abt cry dread ret  love bts  great thing wake stray kids got roty bts gracefully swept everyones lives away stayarmys stay winning  depression hours open  love bts  everythings gonna fine tho im frustrated know im gonna fine triumphing anxiety house  love bts
_YoungestCaster, know summon mini grima thats gonna find way give ptsd
notclovis, brain gonna depressed today  good mood pm serotinin depressed ass wouldnt know  time play ever popular game seasonal depression pms idk sure hell  ooohhh wanna bts sabrina au
TheMangoChild, episode life strange bts havent finished episode whatcha doin
Endearment15, thanks fren still struggle depression nearly crippling switching politic  someone angry alt right supporting depressed preferring left  rt get decent sample mental health twitter new right suffered depression  communists often attribute depression capitalism essen  anyone pushing view needs look trans suicide rates im sure people naturally trans enco
buoyxy, figured working drugs using reverse psychology  saying people never depression pretend depression get th  buy antidepressants people likely suffer depression  depression leading cause death disab  cause addiction  data proves taking antidepressants main cause depressed  could adhd kids require attention would cause parents become tired  100 people talking anxiety part 18  therapy way therapy might even help anxiety extremely difficult get rid
auntie___annes, think depression
CeruleanSiren19, slew mental illnesses mostly anxiety depression adhd ptsd plus plenty others  thomas sanders anxiety vibes right  feel like im anxiety attack dont wanna wake anyone else
jordandillardz, kieran depression  tired coming twitter dot com seeing many people throw around word abuse every little thing  god gave depression also gave fat ass cant really complain
kmsilvers01, im pretty sure depression point doesnt help either im exhausted mentally emotionally  hate depressed like 247
beccabam7, anxiety depression doesnt make weak
TheKingofN3rds, set child life full suffiering depression worse feel like  say chronic depression four years yet
notjustyourfan, making excited giving anxiety time sksksksk drop lt1  good day depression hours bye lmao feel like shit  put tl im haylor depression hours  yall shared post facebook abt someone committed suicide post talking abt boy wrote
iamstalewater, depression fun especially im trying sleep work yo self know
RupertRum, things say depression much thankful ill kill try hur  apparently stigma male hula dancers think feminine watched
mommadoodlebug, getting interesting perspectives pics question psychology behind men sending wo  brains switch appears broken sucks cuz really wanted quality snoozles oh stress  630 ughh nothing fits im fat 130 pm omg stress gotta go get something cheesy choco  amazing wish could explain battle anxiety artistically  funfact wasnt aware suicide random daily threat people made every day 40s pa  mentalhealthday2018 share experiences anxiety depression amp ptsd freely others fami  ptsd isnt violent outbursts sometimes locking dark office amp hiding beneath desk
Onegiantleap4, always great hear candid voice speak anxiety amp depression message
JaileeGabbana, came terms one many african american lgbtqtwitter male longer let depression
megsfilm, hi friends officially full time job lined chicago depression cured unstoppable may even call bitch
SamaraRedwayFA1, wish notice ive got plz would mean alote realy big depression message
beckystevenso19, symptoms depression desire hurt kill want sleep find ways escape
numb_diva, psychological depression stems little contact outside world friends boyfriend  biological depression due upbringing traumatic experiences growing family history mental illnesses  ive also accepted biological depression psychological depression
JanaBanksKing, would lost would went real life depression  whole real life anxiety attack school mess stressing fun  anxiety attack everyday honestly everyday  saying yes happiness means learning say things people stress
BrendaJulisaV, depression isnt something disappears however learn pick keep going
DieAnn63, back surgeries pain amp dentureless depression via  latest sepsis fibrofighter daily sepsis mentalhealthmatters  depression sons hospital via  liked video taking girlfriend therapy
samioverton, cant believe ppl dont depression mean dont think living chore
aiashaha, youth halaqa mas depression tmo honestly couldnt come better time bc im really feeling
mark_with_a_c, studies indicate may useful treating depression increases attention  anxiety even survive first semester college  ever get anxiety message someone havent talked awhile asking dont respond much
DoctahDean, anxiety anxiety
OGLilLoyal, girl said even im happy negative energy bitch thats depression
SpookyScarf, normally dont get anxious sad depression man making lot shit decisions lately
AngelMugabe, im start gofundme campaign dont want die depression brokenness peo  twitter also needy depressed  youre right people need money get depression  need friends im lone depressed
voguehunnie, however know everything youre saying incorrect depressed persons fault one  13rw contributes many ignorant ppl saying someone suffering severe depression think
g0zguy, ill commit suicide  almost im sure depression
TroyBaker_, please stop telling im unhappy choose happy many people depression nothing li  say really like sometimes coping mechanism depression  sorority season upon us means getting anxiety close girls glitter near eyes  heard adult say band kids happier people could probably name least ten people depression band
wholesomemess, say seasonal depression really normal depression wearing santa hat disguise  cannot stress enough wu
rues_opinion, girls around world school period poverty dayofthegirl ready end stigma
KEILAdascope, therapy talking moms making go andweed  catching thisisus really hard watching toby battle depression
sstarkastic, omg tysm classmates succ get pissed breathing anxiety attack ge  exactly wont use depression able say something racist get upset people dont forgive
rudyjeann, love chronic illness directly related stress  quote phone call ive left meeting cabinet maker know kind stress  verge breakdown means stress eating cracker sandwiches biscuits cups tea double  stress eaten 10 biscuits evening ten  checking back twitter let everyone know anxiety moment weakness im struggling bit  weird memories emotional abuse triggered weather  listening bts doctor bts stan  sound effects used aeon flux really fucking triggering pls stop ur hurting anxiety triggered
lizjwriter, also chronic depression anxiety performance nerves yet somehow debra
ChromeCattleCo, dont school responsibilities im gonna succumb holiday depression l8er  use code thankful checkout get 25 pts tshirts 11211126  put leaves pts head fed pie took magical thankful cow pics coming soon  thinking stuff need buy new house giving anxiety dont ketchup hou  life hack move youre depressed wont care stuff throw much faster
CourageousRobin, dont always take month one drawingbut doits depression stay thristy
RSpeaksWorlds, telling world disabled representation bad coddled stress dangers  blind people want act kickass actors would able without undue stress  eeeeexcuse psa disabled people handle much stress abled people considering always  nanowrimo18 sick distracted new roommate fighting depression enjoying holidays  beautiful cathartic poetic need sad stories better depression happy stories sometimes  authorconfession trying survive anxiety
erinisturtles, depression hitting hard tonight hurts cup hot peppermint tea try help thats want dog  week knocked deep depression insomnia havent slept hour two ni  seriously though insomnia agoraphobia anxiety peaking im tired  sweet deep anxiety chest pains midnight alone favorite things  theres lot live without peppermint tea would hard anxiety would lot harder fight
badbitch2k19, explanation depression
RedDeadOutlaw, heath ledger hed depressed years accordi  fell un love gaming nearly reason still acute ptsd
Elizabeth231271, today finished important therapy programme amp 11 others tackled sexual abuse amp vio
arrogantmrcnry, literally many people side love support feel goddamn alone lately fuck depression man
cass_ratliff, motivation school work adds anxiety yeah hun
spookalie, im also considering taking tanning told doctors may help depression durin  white meat white wine depression bad idea drink id recommend zinfandel sweet sweet happy  mine due lot abuse gaslighting
Rosella500, short think helps think like game designer always keep mind depression disabi  sometimes depression hard find unable get bed morning get ready leave work  short maybe story ive used game design combat depression
GuerrMelissa, think tweet healthy happy baby despite depressed thru pregnancy im
summabis, hello anxiety ive ever day slam every one tell im cool amp poetry st  depression
JackDivine, idea band think depression cured wow  im depressed adam
NicoleeEmmaa, also lets talk fact human ive dealing depression years self harmed  depression seriously fucked isolate gain eating disorder gets harder  im honestly tired suicide answer someone shouldnt die escape darkness  sad suicide answer nowadays get someone hear completely get people
samadrgna, suicide squad mess movie joker definitely worst part  many calories bouncing leg anxiety burn  depression rut basic human need like water sleep whoooooo knoooowwwsss
maddiesbot, mix anxiety sleepiness candy hair  thanks following depression  mix anxiety sleepiness candy hair  mix anxiety sleepiness candy hair  thanks following depression  mix anxiety sleepiness candy hair
D_Dawgis, im gym like im therapy know fist bumps cool im  im gonna blame sleepless night c4not much anxiety mostly preworkout apparently ha
AnaglogsDaughtr, nice day folks ritual say ocd dont look twitter 3pm like watch
