hot_diggity_d,"['drugs', 'alcohol', 'seen', 'effect', 'honestly', 'hand', 'first', 'would', 'ive', 'depression']"
nzkya,"['masa', 'slight', 'clean', 'ocd', 'tweet', 'feeling', 'think', 'ni', 'ke', 'depression']"
sadfuckinnerd,"['teenage', 'paper', 'woke', 'due', 'whole', 'sick', 'psychology', 'sad', 'cl', 'feel', 'hi', 'depression']"
Gerridwynn9,"['disabledcritters', 'recurring', 'struggles', 'fur', 'struggled', 'sharing', 'constant', 'watching', 'thank', 'therapy', 'life', 'ive', 'anxiety', 'hi', 'en', 'depression']"
tsuyuasui,"['opposed', 'passes', 'summer', 'kicking', 'winter', 'proud', 'soon', 'class', 'thinking', 'talking', 'severe', 'kind', 'hope', 'seasonal', 'youre', 'hard', 'someone', 'ass', 'really', 'like', 'anxiety', 'im', 'depression']"
trashyrcnts,"['haha', 'please', 'leave', 'wanna', 'today', 'good', 'fuck', 'day', 'anxiety', 'depression']"
L_Rollinstoned,"['1820', 'contemplating', 'hungry', 'nights', 'spent', 'cold', 'college', 'worth', 'instead', 'bei', 'giving', 'started', 'alone', 'break', 'didnt', 'much', 'suicide', 'life', 'stress', 'feel', 'depressed', 'like']"
BFeinsteinPhD,"['bisexual', 'stony', 'abct', 'abct2018', 'ppls', 'symposium', 'brook', 'offered', 'presenting', 'required', '91', 'university', 'teaching', 'technology', 'interested', 'program', 'address', 'course', 'stigma', 'check', 'grad', 'using', 'clinical', 'youre', 'amp', 'psychology', 'experie', 'understand', 'ppl', 'stu', 'health', 'still', 'ill']"
lyskoi,"['backstage', 'flywheel', 'pannenkoek2012s', 'masterful', 'floors', 'ceilings', 'clocks', 'enormous', 'speakers', 'walls', 'iii', 'epic', 'ii', 'sitting', 'behind', 'stage', 'currently', 'pts', 'hit', 'fuck', 'one', 'anxiety', 'ie']"
BrinReyXO_,"['258', 'yeah', 'cry', 'want', 'hi', 'depression']"
askhelpingminds,"['prevalence', 'surrounding', 'genes', 'ladies', 'bigger', 'halved', 'conviction', 'genders', 'gifted', 'uberfacts', 'mariah', 'upfront', 'squawking', 'individually', 'bird', 'contribute', 'businesses', 'treatable', 'obvs', 'carey', 'cluster', 'curing', 'shakes', 'dictate', 'fate', 'perspectives', 'genetics', 'prevalent', 'lovato', 'gardening', 'within', 'quote', 'statistics', 'associated', 'singing', 'stats', 'impacts', 'voice', 'hmmm', 'shoulder', 'reliever', 'hormones', 'lifetime', 'factors', 'biological', 'cures', 'whilst', 'possibly', 'permanent', 'brains']"
jeffreyalman,"['prohibits', 'replies', '400', 'applied', 'august', 'hotline', 'jobs', 'store', 'number', 'zero', 'phone', 'since', 'may', 'need', 'suicide', 'think', 'depression']"
gmanfeltz,"['saved', 'videos', 'gotten', 'family', 'liter', 'love', 'life', 'depression']"
pom_w_rose,"['unending', 'desi', 'cool', 'constant', 'whats', 'matter', 'always', 'going', 'life', 'thing', 'depression']"
cherelyn__,"['gr2photo', 'solstice', 'picked', 'makeup', 'five', 'active', 'putting', 'gave', 'lmao', 'face', 'watching', 'pretty', 'ago', 'addiction', 'since', 'sup', 'af', 'years', 'bad', 'think', 'stress', 'feel', 'depressed', 'dont', 'like', 'ive', 'im']"
_MuTube,"['appartment', 'jumping', 'buildings', 'landed', 'selves', 'conscious', 'allah', 'china', 'jumped', 'building', 'pray', 'impossible', 'decision', 'block', 'committed', 'basically', 'common', 'absolutely', 'yesterday', 'stressed', 'especi', 'saying', 'issues', 'turn', 'times', 'girl', 'kill', 'nothing', 'esp', 'suicide', 'youre', 'top', 'lot', 'health', 'much', 'fuck', 'make', 'even', 'mental', 'think', 'day', 'people', 'depressed', 'get', 'im', 'depression']"
sneakydeaths,"['slice', 'stale', 'bread', 'sandwich', 'wet', 'oh', 'also', 'one', 'depression']"
masakitakagawa,"['awee', 'nanachii', 'sobs', 'nanachiii', 'dollchii', 'hahaha', 'draw', 'worry', 'fine', 'maybe', 'rest', 'might', 'thank', 'much', 'need', 'help', 'stress', 'ill', 'dont', 'depression']"
ren_rantss,"['ruins', 'considered', 'mania', 'multiple', 'experiencing', 'chance', 'term', 'wow', 'disorder', 'bipolar', 'social', 'friends', 'great', 'long', 'look', 'times', 'someone', 'would', 'really', 'think', 'feel', 'day', 'like', 'ever', 'anxiety', 'depression']"
hannahhxpiercee,"['pulling', 'good', 'day', 'anxiety', 'depression']"
bclaypolewhite,"['revolved', 'firefighters', 'rile', 'division', 'hyperfixation', 'psychologists', '1100', 'offers', 'heartbreaking', 'obsessions', 'santa', 'foods', 'bbc', 'ocd', 'olivia', 'peeps', 'california', 'surrounded', 'climate', 'library', 'strangers', 'racial', 'holidays', 'article', 'dads', 'news', 'effort', 'local', 'space', 'reality', 'bullying', 'trump', 'postpartum', 'piece', 'photo', 'shows', 'safe', 'base', 'realized', 'via', 'reading', 'cope', 'explain', 'says', 'using', 'fear', 'means', 'comes', 'helps', 'whole']"
merryheely,"['depleted', 'conscious', 'appetite', 'hungry', 'emotionally', 'losing', 'sleeping', 'ruin', 'kicking', 'women', 'weight', 'cannot', 'bpd', 'meds', 'idea', 'already', 'bed', 'stop', 'hard', 'someone', 'ass', 'make', 'therapy', 'get', 'men', 'dont', 'ive', 'anxiety', 'go', 'depression']"
Jeremyd4God,"['bothers', 'counselor', 'loser', 'struggled', 'felt', 'see', 'like', 'depression']"
_bayleepulido97,"['boyfriend', 'hones', 'since', 'better', 'thank', 'much', 'ive', 'anxiety', 'depression']"
mikhaelnasrul,"['minum', 'selfhate', 'unloved', 'insensitive', 'rude', 'kan', 'release', 'negative', 'weekend', 'called', 'crazy', 'plain', 'theyre', 'theres', 'nothing', 'mind', 'person', 'thats', 'things', 'gi', 'want', 'stress', 'people', 'feel', 'depressed', 'ni', 'depression']"
gorl_spicy,"['acronym', 'traps', 'repellent', 'karma', 'upstairs', 'chemicals', 'financially', 'crippled', 'breakfast', 'opportunity', 'added', 'plant', 'stronger', 'kill', 'based', 'ocd', 'lets', 'missed', 'diagnosis', 'fucking', 'cute', 'cool', 'broke', 'wouldnt', 'doesnt', 'house', 'whole', 'another', 'cut', 'bri', 'anyone', 'literally', 'makes', 'keep', 'hear', 'ptsd', 'someone', 'rat', 'bad', 'going', 'much', 'get', 'way', 'feel', 'use', 'dont', 'thing', 'like', 'anxiety', 'ow']"
pastelkoreanpop,"['defying', 'rules', 'impossible', 'suddenly', 'empty', 'logic', 'forever', 'feels', 'left', 'without', 'cry', 'bed', 'first', 'bts', 'cant', 'depressed']"
chelsearae813,"['ltjazz', 'handsgt', 'ministry', 'nonprofit', 'deem', 'concerning', 'teste', 'christian', 'appetite', 'conversion', 'recovering', 'across', 'convince', 'office', 'amount', 'gay', 'pray', 'weight', 'lost', 'leave', 'everyone', 'bed', 'away', 'addiction', 'sure', 'ptsd', 'things', 'would', 'work', 'make', 'therapy', 'year', 'think', 'men', 'get', 'ive', 'mo', 'depression']"
MandiJMusic,"['henchmen', 'junkie', 'selfsabotage', 'couple', 'rough', 'due', 'full', 'ptsd', 'know', 'day']"
cloudstatix,"['alarms', 'chopped', 'edition', 'bitches', 'studying', 'classes', 'turning', 'poor', 'chem', 'city', 'stupid', 'dumb', 'student', 'adhd', 'total', 'exam', 'focus', 'stressed', 'gone', 'wont', 'brain', 'keep', 'seasonal', 'sleep', 'week', 'back', 'stan', 'let', 'going', 'stress', 'depressed', 'ever', 'im', 'depression']"
HoCoHealth,"['county', 'howard', '1519', '20142016', 'expentancy', 'declines', 'experimenting', 'maryland', 'marylandspecific', 'leadership', 'juul', 'embarrassment', 'organizations', 'independence', 'obituary', 'seminar', 'impacted', 'fentanyl', 'gather', 'strategies', 'overdose', 'join', 'deaths', 'reaching', 'average', 'opioid', 'nicotine', 'serves', 'facts', 'discussion', 'youth', 'increasing', 'survivors', 'leading', 'covering', 'teens', 'rising', 'local', 'combat', 'reminder', 'selfcare', 'office', 'events', 'rates', 'survivor', 'dies', 'victim', 'turned', 'loss', 'related']"
annachiiue1,"['survivors', 'sexual', 'matter', 'believe', 'trauma', 'hard', 'abuse', 'much', 'amp', 'life', 'fee']"
jadedamomo,"['canal', 'cavities', 'abigail', 'haunting', 'nuts', 'bria', 'deserved', 'fallen', 'funk', 'seriously', 'root', 'scary', 'finding', 'hill', 'session', 'needs', 'house', 'major', 'started', 'believe', 'hour', '10', 'actually', 'since', 'better', 'therapy', 'season', 'also', 'cant', 'need', 'even', 'like', 'im', 'depression']"
NatePickowicz,"['martyn', 'lloydjones', 'sermon', 'spiritual', '42', 'battled', 'changed', 'person', 'life', 'ps', 'anxiety', 'depression']"
ctrlcynthia,"['packed', 'arena', 'tryna', 'lmaoo', 'waiting', 'attacks', 'leave', 'alone', 'believe', 'bc', 'good', 'cant', 'day', 'anxiety', 'go', 'im', 'depression']"
rosclia,"['kasumi', 'cured', 'depression']"
bryancoffee,"['gives', 'fear', 'point', 'part', 'thats', 'much', 'anxiety', 'depression']"
notCursedE,"['tourettes', 'shouldnt', 'sort', 'definitely', 'ocd', 'saying', 'people', 'try', 'work', 'depressed', 'anxiety', 'pe', 'im', 'depression']"
ogechi766,"['drove', 'smoking', 'drinking', 'suffered', 'reali', 'actually', 'depression']"
Ebrobsession,"['depriving', 'carnivore', '10mns', 'implying', 'ep4', 'luke', 'aaah', 'replied', 'haunted', 'gather', 'boredom', 'clarify', 'touched', 'animal', 'core', 'meat', 'appetite', 'liking', 'repeat', 'imbalance', 'feed', 'triggers', 'reminder', 'busy', 'chemical', 'hasnt', 'lost', 'annoying', 'shouldnt', 'chance', 'illnesses', 'hill', 'regular', 'produ', 'apparently', 'cute', 'worry', 'anxious', 'step', 'weight', 'theyre', 'wasnt', 'house', 'getting', 'mood', 'cat', 'theres', 'little', 'fact', 'isnt']"
JaniceTindle,"['precise', '1984', 'caregiving', 'gaslighting', 'ahead', '2010', 'caregiver', 'psychiatry', 'predict', 'neighbor', 'injury', 'fb', 'website', 'veteran', 'traumatic', 'husband', 'alzheimers', 'blood', 'page', 'wanted', '30', 'suffered', 'share', 'sat', 'test', 'due', 'night', 'found', 'started', 'psychology', 'brain', 'could', 'new', 'years', 'pos', 'stress', 'depressed', 'one', 'depression']"
fatherofyousaf,"['masculinity', 'thread', 'idea', 'thanks', 'great', 'trauma']"
buppiiieee,"['yeah', 'sorry', 'depression']"
RainDripDrops,"['fiddly', 'puzzles', 'tiny', 'husband', 'amp', 'long', 'fun', 'give', 'someone', 'bad', 'day', 'anxiety', 'depression']"
alfinrahmatia,"['worship', 'grateful', 'avoid', 'must', 'lack', 'youre', 'person', 'say', 'need', 'depression']"
MrsSue66,"['bent', 'scarred', 'disfigured', 'sundaythoughts', 'quote', 'generalized', 'hopeless', 'particular', 'whenever', 'online', 'broken', 'gotten', 'control', 'issues', 'learn', 'months', 'worst', 'listen', 'understand', 'disorder', 'doesnt', 'stop', 'many', 'want', 'youre', 'person', 'sad', 'someone', 'never', 'would', 'real', 'read', 'people', 'good', 'say', 'dont', 'met', 'even', 'life', 'think', 'like', 'know', 'depressed', 'anxiety', 'ba', 'ive', 'one', 'ti', 'depression', 'si']"
MarkBluebuzz,"['backside', 'message', 'nice', 'mate', 'medication', 'helps', 'kick', 'wont', 'stra', 'talking', 'find', 'cure', 'hav', 'better', 'times', 'lot', 'suffer', 'talk', 'want', 'really', 'people', 'ive', 'us', 'hi', 'im', 'depression']"
MarelNelson,"['discouragement', 'mymotherinlawalltheway', 'guests', 'unlovable', 'areyour', 'victorious', 'worship', 'presence', 'laughed', 'deeply', 'prescription', 'prayer', 'places', 'jesus', 'husband', 'house', 'fill', 'ocd', 'victim', 'clean', 'forward', 'battling', 'loved', 'pray', 'name', 'seriously', 'dark', 'move', 'joy', 'doctor', 'music', 'free', 'turn', 'god', 'lol', 'ready', 'getting', 'right', 'thats', 'always', 'bad', 'let', 'depressed', 'every', 'man', 'thing', 'depression']"
tellmeulovememe,"['comprehend', 'resort', 'struggles', 'range', 'works', 'seeing', 'emotional', 'severe', 'trauma', 'people', 'dont', 'depression']"
Zsaazssaa,"['antisocial', 'bandwagonists', 'ancestors', 'coerced', 'normalcy', 'rebuttal', 'condescending', 'accts', 'partake', 'incorrectly', 'publicizing', 'meme', 'ignorance', 'lemme', 'romanticizing', 'damaging', 'shambles', 'crystal', 'fake', 'shal', 'humans', 'psychiatric', 'fad', 'language', 'advance', 'passed', 'funny', 'victims', 'genuinely', 'lazy', 'memes', 'crippling', 'blame', 'share', 'cancer', 'negative', 'shows', 'stupid', 'avoi', 'whos', 'mentally', 'cute', 'causes', 'completely', 'cool', 'clear', 'cope', 'sadness', 'haha', 'become']"
Realmofsaints1,"['fucks', 'nah', 'admit', 'holidays', 'longer', 'loved', 'shit', 'true', 'wont', 'stigma', 'aroun', 'around', 'die', 'trying', 'youre', 'thats', 'lot', 'come', 'people', 'much', 'depressed', 'one']"
gashixo,"['physics', 'might', 'good', 'suicide', 'dont']"
EYoto32,"['politicians', 'btw', 'shouldnt', 'exactly', 'power', 'keep', 'care', 'always', 'abuse', 'abu']"
splatbit,"['bloblobber', 'debilitating', 'nearly', 'main', 'wanted', 'least', 'wish', 'may', 'someone', 'much', 'fuck', 'im', 'depression']"
michelle_h2020,"['committing', 'behind', 'drugs', 'reasons', 'look', 'also', 'amp', 'suicide', 'think', 'people', 'depression']"
Mishipak5,"['armys', 'jinfollowparty', 'hobis', 'againplzzz', 'jahan', 'jiski', 'bhejo', 'bangtan', 'jincult', 'grammys', 'adorable', 'jin', 'invented', 'everywhere', 'congrats', 'worlds', 'language', 'omg', 'awards', 'hai', 'bts', 'died', 'award', 'smile', 'cute', 'easy', 'bat', 'fighting', 'wasnt', 'face', 'hate', 'pic', 'best', 'tm', 'many', 'look', 'ek', 'today', 'tak', 'love', 'see', 'ki', 'hi', 'depression']"
anneso2497,"['tickets', 'everytime', 'buy', 'possible', 'mini', 'rest', 'week', 'try', 'depression']"
eltacaros,"['spoilers', 'danganronpa', 'dangaronpa', 'population', 'town', 'welcome', 'together', 'hello', 'cool', 'fucking', 'depressed', 'depression']"
Silpada3,"['oil', 'become', 'helped', 'taking', 'started', 'many', 'much', 'know', 'depression']"
cybershampain,"['side', 'fuck', 'dont', 'anxiety', 'depression']"
smoochumm,"['keychain', 'crochet', 'bucks', '2019', 'project', 'switch', 'turned', 'nice', 'earn', 'bitch', 'maybe', 'thoughts', 'sometimes', 'addiction', 'mind', 'call', 'also', 'bad', 'time', 'im', 'depression']"
Nikuson___,"['thursdaythoughts', 'ahould', 'functioning', 'coming', 'high', 'happy', 'things', 'still', 'good', 'gg', 'make', 'way', 'depression']"
NerdyBooksellr,"['birdsetfreeproject', 'splitting', 'bpd', 'endthestigma', 'n11', 'loreleï', 'disneyfied', 'pencil', '161118', 'n10', 'lucile', 'charline', '031118', 'recoveryselfie', 'mask', 'mentalillness', 'mentalhealth', 'eatingdisorder', 'birdies', 'n9', 'goal', 'schizophrenic', 'websites', 'recipe', 'dinosaur', 'ignorance', 'mentalhealthawareness', 'forces', 'story', 'surrounded', 'socialanxiety', 'assholes', 'crushing', 'faking', 'activities', 'past', 'ghost', 'invisible', 'tolerance', 'apps', 'terrifying', 'anorexia', 'recovery', 'psychologist', 'insomnia', 'guilty', 'google', 'mouth', 'doi', 'character']"
RKehtisham,"['juat', 'beimg', 'kgs', 'achivement', 'involved', 'pride', 'accidentally', '93', 'scars', 'staying', 'recover', 'cannot', 'talked', 'difficult', 'wear', 'three', 'positive', 'calm', 'weeks', 'class', 'wasnt', 'level', 'lost', 'thanks', 'could', 'new', 'always', 'hard', 'friend', 'abuse', 'work', 'suicide', 'yo', 'use', 'ur', 'one', 'anxiety', 'depression']"
CannonBauer1,"['upon', 'question', 'seasonal', 'always', 'real', 'depression']"
TTParadigm,"['calorie', 'counting', 'relapse', 'pizza', 'hoping', 'yesterday', 'second', 'knows', 'half', 'sick', 'lol', 'since', 'better', 'row', 'something', 'bit', 'may', 'feeling', 'though', 'still', 'depressed', 'dont', 'day', 'ate', 'depression']"
na_nadia3,"['losing', 'nobody', 'wouldnt', 'wish', 'literally', 'mind', 'shit', 'depression']"
aygentcooper,"['disorder', 'sleep', 'depression']"
NaviNabob,"['quicksand', 'horse', 'pure', 'childhood', 'home', 'anyone', 'need', 'ugh', 'depression']"
KylaBailey_,"['breakdowns', 'uncomfortable', 'dread', 'coworker', 'sessions', 'address', 'medicine', 'calling', 'pending', 'note', 'appointment', 'usually', 'yesterday', 'couple', 'crazy', 'others', 'told', 'believe', 'makes', 'doesnt', 'therapy', 'self', 'person', 'health', 'going', 'mental', 'anxiety', 'ar', 'depression']"
victoriaa_heree,"['disappointed', 'graduated', 'summer', 'gave', 'could', 'let', 'really', 'like', 'ge', 'im', 'depression']"
acefaerie,"['span', 'button', 'bottom', 'picture', 'jimin', 'groups', 'page', 'report', 'attention', 'saw', 'crying', 'almost', 'honestly', 'theres', 'started', 'miss', 'worse', 'since', 'getting', 'new', 'days', 'bts', 'abuse', 'today', 'good', 'much', 'got', 'even', 'love', 'like', 'go', 'depression']"
KZvicedo,"['meron', 'palang', 'cousin', 'alam', 'yet', 'ko', 'experience', 'also', 'na', 'di', 'depression']"
AgrsvMotivation,"['familyfriend', 'dates', 'pushing', 'stressing', 'bills', 'grades', 'fighting', 'problems', 'working', 'due', 'fucking', 'youre', 'see', 'hard', 'need', 'want', 'know', 'anxiety', 'depression']"
NoNickles,"['unrest', '1929', 'slippery', 'conflict', 'originally', 'unresolved', 'political', 'resolve', 'guilty', 'moods', 'brings', 'white', 'water', 'save', 'theyre', 'finally', 'issues', 'two', 'arent', 'made', 'great', 'life', 'feeling', 'wit', 'lot', 'ice', 'try', 'stress', 'people', 'way', 'depressed', 'sa', 'depression']"
scourgexi,"['promise', 'clinical', 'wow', 'look', 'fucking', 'thank', 'depressed', 'im', 'depression']"
sayomgwtf,"['toby', 'coco', 'toto', 'loky', 'spoiled', 'carefree', 'however', 'experience', 'happy', 'days', 'abuse', 'one']"
kidcreepy1,"['prescription', 'effects', 'gain', 'loved', 'weight', 'medication', 'severe', 'side', 'feeling', 'tr', 'depression']"
Sarahtrcvh,"['dreamt', 'dreams', 'tests', 'hilarious', 'homework', 'asleep', 'zero', 'system', 'events', 'afraid', 'gotten', 'looks', 'absolutely', 'focus', 'fall', 'tonight', 'lately', 'attacks', 'support', 'making', 'done', 'big', 'actually', 'care', 'stress', 'many', 'sleep', 'hate', 'last', 'night', 'hard', 'well', 'much', 'know', 'love', 'people', 'ill', 'like', 'anxiety', 'ive', 'im', 'th', 'depression']"
brenduuhs,"['automatically', 'fucks', 'types', 'forever', 'fucked', 'family', 'heal', 'away', 'friends', 'years', 'take', 'abuse', 'people', 'love', 'think', 'dont', 'ever', 'go', 'depression']"
Winskerss,"['disagree', 'close', 'hm', 'past', 'doesnt', 'something', 'depression']"
StdPoodleMom,"['sociology', 'competent', 'economics', 'majors', 'suggested', 'sweetie', 'project', 'unfortunate', 'track', 'finding', 'effects', 'children', 'working', 'psychology', 'hope', 'someone', 'help', 'see', 'like', 'depression']"
buffster76,"['culturespecific', 'facing', 'issues', 'sorry', 'know', 'im', 'depression']"
Willumscapes,"['plummeted', 'rewatched', 'cake', 'shrek', 'onions', 'layers', 'ogres', 'realise', 'rock', 'rates', 'tbh', 'recently', 'made', 'tell', 'would', 'let', 'much', 'like', 'depression']"
stoopidanon,"['happening', 'force', 'smile', 'laugh', 'taking', 'literally', 'feel', 'dont', 'depression']"
nixllsprincxss,"['tipping', 'spikes', 'meant', 'trip', 'enjoy', 'weeks', 'point', 'anxiety', 'go', 'im', 'depression']"
SanguineNW,"['selfserve', 'near', 'says', 'une', 'else', 'helps', 'panic', 'anyone', 'social', 'attack', 'use', 'anxiety']"
miltonhope07,"['videos', 'listen', 'anxiety', 'depression']"
akaspirin,"['drawingpainting', 'concentrate', 'overly', 'terrified', 'hence', 'tackle', 'critic', 'regarding', 'identity', 'confident', 'hopeless', 'moods', 'inner', 'white', 'continue', 'avoid', 'usually', 'ability', 'motivation', 'gave', 'money', 'energy', 'joy', 'probably', 'wont', 'yall', 'okay', 'makes', 'better', 'sleep', 'hate', 'part', 'tell', 'hard', 'try', 'ass', 'say', 'much', 'need', 'want', 'see', 'man', 'think', 'way', 'feel', 'dont', 'ki', 'im', 'depression']"
doctordhanbpath,"['answer', 'surgery', 'herbal', 'soil', 'alternatives', 'cultivate', 'efforts', 'critical', 'successfully', 'decreases', 'increases', 'burning', 'nerve', 'psychologist', 'conditions', 'somebody', 'medicine', 'loving', 'alzheimers', 'effective', 'psychiatrist', 'treated', 'medical', 'father', 'family', 'needed', 'natur', 'disease', 'attention', 'via', 'wellbeing', 'seriously', 'check', 'medication', 'kids', 'major', 'physical', 'without', 'worse', 'pain', 'severe', 'cure', 'best', 'mental', 'hate', 'back', 'also', 'take', 'health', 'going']"
sylviah_s,"['dementia', 'alzheimers', 'absolutely', 'music', 'believe', 'anyone', 'help', 'think', 'al']"
tatianawrites,"['infants', 'straightup', 'soi', 'bound', 'wondering', 'depressing', 'shout', 'spent', 'minutes', '15', 'whos', 'bout', 'else', 'job', 'morning', 'guess', 'havent', 'started', 'happen', 'everyone', 'fucking', 'since', 'fuckin', 'sleep', 'new', 'well', 'would', 'good', 'depressed', 'real', 'depression']"
analitaism,"['psychs', 'depressionanxiety', 'therapists', 'kept', 'behind', 'gave', 'saw', 'took', 'suffering', 'finally', 'dealing', 'stigma', '10', 'tweet', 'mentalhealth', 'psych', 'years', 'health', 'mental']"
juyeonsjisoo,"['bgs', 'jidjg', 'apink', 'mashupsomeone', 'armyluv', 'oomfies', 'velvet', 'gfriend', 'ggs', 'gidle', 'mainly', 'aside', 'twice', 'forgot', 'mmm', 'asked', 'pls', 'performance', 'half', 'nct', 'damn', 'mma', 'bp', 'bts', 'leave', 'ngl', 'without', 'stan', 'bc', 'rv', 'shit', 'lot', 'well', 'good', 'going', 'see', 'red', 'get', 'dont', 'wo']"
modifiedwolf,"['slew', 'specialist', 'appointments', 'interview', 'manic', 'resting', 'normal', 'aware', 'rate', 'made', 'thats', 'anxiety', 'depression']"
wavingensign,"['sensory', 'processing', 'focused', 'stood', 'broug', 'daughter', 'front', 'changed', 'struggles', 'crippling', 'college', '11', 'entire', 'completely', 'bout', 'suffered', 'major', 'months', 'school', 'severe', 'disorder', 'years', 'old', 'today', 'amp', 'even', 'year', 'anxiety', 'depression']"
BuckeyeGuy6080,"['manly', 'beard', 'lighter', 'slightly', 'tons', 'frustrating', 'ashamed', 'dealt', 'emotions', 'army', 'explain', 'state', 'gone', 'mind', 'sure', 'less', 'hard', 'got', 'feel', 'depressed', 'depression']"
pjmshenanigans,"['지민', 'ctto', '방탄소년단', 'dancing', 'jimin', 'beautiful', 'someone', 'bts']"
magmarigold,"['reliant', '50year', 'expectancy', 'increasingly', 'predict', 'facebook', 'risk', 'drugs', 'death', 'peak', 'cause', 'suicide', 'life', 'ai', 'us']"
HamdanCT,"['protein', 'shake', 'coffee', 'energy', 'power', 'enough', 'maybe', 'make', 'ill', 'depression']"
deepsealady,"['hormone', 'dosages', 'implant', 'dosage', 'itd', 'cool', 'super', 'mess', 'wont', 'crippling', 'yeah', 'low', 'anything', 'anyone', 'didnt', 'work', 'good', 'got', 'every', 'time', 'anxiety', 'go', 'depression']"
Laurenmayknight,"['toughest', 'loosing', 'overcame', 'hating', 'happier', 'mysel', 'realised', 'becoming', 'started', 'bipolar', 'strong', 'yet', 'different', 'wont', 'months', 'disorder', 'better', 'last', 'look', 'much', 'amp', 'year', 'pro', 'really', 'way', 'depressed', 'get', 'ive', 'one', 'im']"
NyikoManganyiX,"['homei', 'lead', 'anymore', 'wanna', 'cant', 'even', 'feel', 'depressed', 'go', 'depression']"
AustinMattesau,"['easy', 'gotta', 'aint', 'head', 'problem', 'high', 'keep', 'say', 'need', 'know', 'depression']"
asarachene,"['winter', 'already', 'depression']"
malecs_sweetpea,"['thereplease', 'shadowhunters', 'cancelledno', 'fandom', 'pick', 'someone', 'going', 'really', 'depression']"
_crickett_,"['derbytwitter', 'manon', 'derby', 'teammates', 'joined', 'leagues', 'travel', 'safety', 'league', 'creating', 'road', 'space', 'running', 'folks', 'intro', 'team', 'lets', 'social', 'makes', 'hard', 'though', 'talk', 'hit', 'even', 'anxiety']"
wholejourney,"['famtv', 'misdiagnosed', 'percentage', '14am', 'flashes', 'poisoning', 'bloating', 'foods', 'kitchen', '21st', 'informative', 'adrenal', 'medicine', 'snack', 'herb', '70', 'garden', 'wrap', 'century', 'gut', 'children', '36', 'fatigue', 'food', 'small', 'syndrome', 'number', 'often', 'million', 'likely', 'simple', 'adhd', 'together', 'episode', 'affect', 'wellbeing', 'actually', 'wake', 'share', 'issues', 'hot', 'told', 'add', 'head', 'two', 'already', 'many', 'fun', 'season', 'thats']"
MissErika,"['shade', 'nah', 'artist', 'choose', 'alive', 'happiness', 'theres', 'sorry', 'illness', 'doesnt', 'ptsd', 'today', 'fuck', 'mental', 'think', 'dont', 'ie', 'depression']"
thegrimphantasm,"['geralds', 'teamed', 'foreign', 'chained', 'anniversary', 'passing', 'creating', 'clients', 'lesson', 'therapists', 'shoot', 'double', 'known', 'partner', 'vs', 'youll', 'happens', 'scared', 'dying', 'tbh', 'roll', 'session', 'dad', 'damn', 'game', 'nice', 'house', 'less', 'control', 'meds', 'tomorrow', 'suicidal', 'worst', 'rest', '10', 'today', 'best', 'trying', 'youre', 'feeling', 'bad', 'therapy', 'year', 'ive', 'depressed', 'get', 'day', 'anxiety', 'ever', 'im']"
blackfog,"['undue', 'clue', 'explains', '2016', 'nope', 'idea', 'free', 'might', 'since', 'seasonal', 'cause', 'right', 'ah', 'fuck', 'stress', 'feel', 'depression']"
ohhellolife,"['alternate', 'nostril', 'clears', 'releases', 'breathing', 'practice', 'fast', 'emotions', 'simple', 'problems', 'else', 'dealing', 'struggling', 'anyone', 'mind', 'anxiety', 'depressi']"
GasheadAu,"['masculinities', 'miniseries', 'reimagining', 'podcast', 'yesterdays', 'concerned', 'failed', 'episode', 'reminder', 'quick', 'close', 'black', 'death', 'dog', 'special', 'coming', 'suicide', 'spe', 'depression', 'ep']"
CodaJen,"['certainly', 'dog', 'therapy']"
NiaDeitz,"['cruelty', 'vegans', 'comforting', 'freshman', 'depending', 'younger', 'animals', 'owner', 'email', 'trend', 'previous', 'bullshit', 'excuse', 'understanding', 'future', 'beca', 'weekend', 'starting', 'cool', 'focus', 'worth', 'prof', 'weight', 'dog', 'anymore', 'face', 'finally', 'lost', 'mood', 'maybe', 'pic', 'isnt', 'talking', 'body', 'might', 'past', 'school', 'cry', 'abuse', 'sometimes', 'mom', 'fucking', 'since', 'seasonal', 'need', 'hes', 'start', 'shit', 'late', 'look']"
alannabonbon,"['postsemester', 'baybeeee', 'zillow', 'houses', 'faker', 'overcame', 'skins', 'university', 'cheap', 'consume', 'moved', 'similar', 'fly', 'dude', 'public', 'watched', 'uk', 'gonna', 'nice', 'wait', 'best', 'used', 'fucking', 'oh', 'ptsd', 'sleep', 'look', 'never', 'would', 'try', 'let', 'say', 'much', 'cant', 'depressed', 'thing', 'go', 'ho', 'im', 'depression']"
glowiefeelings,"['internet', 'series', 'todays', 'topic', 'putted', 'beautiful', 'tips', 'opening', 'depressing', 'hey', 'kicked', 'picture', 'signs', 'part', 'notice', 'sign', 'mood', 'eating', 'story', 'havent', 'started', 'show', 'people', 'self', 'hate', 'always', 'lot', 'amp', 'year', 'really', 'di', 'anxiety', 'depression', 'depressio']"
