Sibusiso_Mtambo, tonight pray every mental depression broken family jesus mighty name
MrsLJesusFreak, oh much common also delivered sexual sin depression alcoholism amp  much stigma female alcoholic male typical double standard ashamed alcohol
GodsBurnerAcct, lsu football depression therapy fuckin scrubs love yall
ZachRuningWolf, occupy2decolonizerunningwolf elected mayor tolerate spousal abuse let alone 40 accepted  occupy2decolonizewwwrunningwolforg elected mayor blessing see legged yrs ago bpd shot amp killed
ArbyHotdog, like understand need therapy therapy first step physically tr
georges852, definitely doesnt make anxiety go hoping respond soon
_whytell_, kind trauma person go order decide become christmas music artist  whole generation wants die havent heard good suicide cult dont know long theres  expectations assumptions however detrimental mental wellbeing absolute pr
cg_curtis, became salt wounds reminding pain consumes suicide bloom growing asphalt  became salt wounds reminding pain consumes suicide bloom growing asphalt  became salt wounds reminding pain consumes suicide bloom growing asphalt  also friend moe yesterday asked whats difference committing suicide said mo  also friend moshe feinstat yesterday asked whats difference committing suicide sai  also friend moe yesterday asked whats difference committing suicide said mo  pray hit water suicide spotter im coming like fly swatter colder th  hide behind phony pride disillusions survive destitution waiting suicide  dont worry happy im getting closer suicide conclusion  dont worry happy im getting closer suicide conclusion
hautepop, emotional labour getting rts thread emotional labour imagine handle anxiety
Lucygoosy15, somehow come across account ignore depressing posts feel like would help relieve stress  dude article bts still dont get ment  group gets special treatment youre acting like bts gro  yea lets bring groups order make bts look better groups
puritangoth3327, think im bipolar  im suffering feel unconventionally bipolar end life im sorry peers  suicide embarrassing anyways  1000 adult patients receiving lamictal adjunctive therapy prospectively followed cohort 1983 pedi  ive therapy epilepsy 03 per 1000 adults adjunctive therapy epilepsy clinical trials  funny much suicidal talking someone suicide prevention
gregfahlgren, adhd depressed meds help focus better work longer issues late
chelseychante, im depressed af push thru work everyday
kristin_bambam, certainly told least 80 recent yesterday people depression
murray710, mental depressed suicidal thought knows dont want talk
Tasia9314, thanks input christian amp joke suicide note either requ
RachelELA15, behavior turns medically documented impulse control issues adhd med dosage hasnt working 23
savagexrebel, thats gonna except im concertgoer bc wasnt allowed go growing anxiety  yeah yall wouldnt wanna see go depressed relentless ruthless heartl  chronic depression since  therapy useless  depressed cant even bear thought three hour shift dont wanna work  im depressed miserable cant focus consumes thats  fall deeper depression isnt going positive outcome  dont believe faith im depressed numb idc anything anymore  im depressed getting dolled naturally hair absolute trash frizzy dis  therapy useless  level depression despair dont think ill receptive help anytime soon las  supposed blame high levels stress fact healed yet  shes great concept therapy thats fucking useless  sure wish simple chronic depression depressed 22 years straight  depressed
BitterSDFan, looks like stress anger lack rest got sick  person social media real life unfortanatelyso psychotic angry depressed bitch
ionajaneX, key holder literally sends anxiety overdrive locked shop put money sa
ice_prizma, addiction disease epidemic  mentalhealth matters  ive lost two friends suicide last years miss much pain may ended  suicideprevention worldsuicidepreventionday  ive lost two friends last years suicide pain ends transferred  suicideprevention  fall addiction psl  addiction narcotics opioidepidemic
Dictator_Fleki, last couple years deal rather deep depression might know last months feels  sexy forever depressed lets guess name xd
AzeemOthman, nowhat disrespectful choice publicly suicide isnt spectacle make
CastleofGlass89, seasonal depression affects time cold darkness feel ho  tho agree never publishing method suicide invisibilizing suicide altogeth  anxiety really feel like walls closing music come ive felt way
hxnnxhr98, anxiety levels roof morning im determined  done pages psychology work today doesnt sound like lot lot motivation levels practically non existent atm  leadley making psychology work slightly bearable  anxiety however entirely different story cant everything gotta keep going reminding  best way dealing anxiety attack askdodie  anxiety fuck walk town meet sister go meeting shouldnt tha
reenah45, haih literally broke still manage use fucking money coffee yalls addiction
MomoHearts77, going create account bts pics dont know tumblr insta tw  another saga yoongi awardsmma2018 btw comgrats bts winning artist years  bts sexy lit opening idol showed traditional korean culture beautifulbtsatmma mma2018  fudge bts change costumes fast like btsatmma mma2018  army getting blessed tonight red hair tae solos members jhope jungkook collab 30 mins bts  anyone ever thought army sometimes treats bts like straight global political pimps like
TafrhistY, personnally really love songs sometimesi found self hardships found depression
NorciaVincent, bad cut depressed suicidal
safanta92, sebulanan ada kali trauma pokoknya kalau yang jaga adalah si pelaku saya lebih memilih jalan lagi mutermuter sem  okay rehatsejenak saya baru ingat rasa dilecehkan secara seksual itu membuat trauma yang sangat dalam apalagi  untuk tidur hahaha anxiety pasti ngebuat ngga bisa tidur jadi minum obat utk tidur jika kr  luka batin mungkin kurang tepat tapi stigma kalian diberi kemudahan sehingga tidak mengalami susah
suicidal_krupux, soon going need license suicide
ehornswoggle, im saying recently plummeted seventh circle severely depressed hell also havent se
RumiCat99, abuse always purposeful professors example might assign course wor  true reminder also people harm ocd reflect much  suicide tough events without knowing get support andmetimes mental illness
parkminrin98, im new twitter im excited kpop bts got7 exo seventeen day6 bigbang nct shinee ikon winner  hey yah fact im multifandom kpop bts got7 exo seventeen day6 bigbang nct shinee ikon winner
maximoffstyIes, like prof im lazy assignments quizzes give extremely bad anxiety  sometimes think well could performed academically school wasnt anxiety  offence college gives much anxiety im ready drop
LamentMyIcarus, abuse youre afraid recording often youre told hilarious go ahead
midnightdemon2, happened spsm went break never returned  swear cancel another therapy appt hyponatremia siadh thing going happ  feeling depressed right hate feeling low foot going berserk nothing
Ramadhern, 2014 demise robin williams suicide us media houses highly publicised study showed  suicide contagion concept suggests person may acquire suicidal thoughts direct exposure indirect exposure  suicide contagion phenomenon discovered day learnt conducting research  sure familiar guidelines reporting suicide anyway conform even
ThruDangrsUntld, yall ever sleep get depressed moments
witchingstar, okay depressed part thought wouldnt able make good friends go die ditch beca  anxiety feel palpable cos wow 700 lot money fuck  rough therapy session yelled lot want scream void  330 anxiety  im trouble buying planner anxious future depressed work  less week ago tried kill thought would die world keeps turning depression  wish addictions self harm eating alcoholism workaholism werent coming play much  therapy sucked today ugh hard curl cry  really bad anxiety sudden part really wants self harm  feel really depressed right sucks wish werent alone  today work bad anxiety attack beeb another coworker mine gave big cuddly hug  nothing change even fail commit suicide nothing change  hate options suicide hospitalization  anxiety unbelievably bad today want die cant escape feeling whole life crumbling  today read aunt joys health journal wrote trying understand source anxiety attac  started bad anxiety attack work thank goodness got go break right afterwards  1318993 im still anxiety dunno much  trying yet another anxiety attack morning ugh  keep thinking suicide date actually improving enough attempt suicide  buh depression anxiety period grandmas declining health school work feel exhausted apathetic  anxiety turning anxiety  know thats depressed say everyone struggling makes feel like  im bad person snapped dog today snapped mom depressed overwhelmed months
briandecker902, im depressed teenager nothings wrong diffrent anyone else earth im suicidal
Ersych, choose live world get respected respecting others wellbeing respect  someone come caring depressed please thank bring ingredients make chocochip cookies
spidrmami, okay ptsd panic attack thing last night confirmed never date someone drinkssmokes regularly ever  hello yes someone abused heroin addict months pls lemme start saying ptsd top  im getting anxiety
parkerrr_k, praying get trauma
eagle_dahyun__, keeps talking suicide actually triggering im gonna tip teeth  gonto twitter therapy havent seen therapist feel yucky
hxnjxsxngg, ugh feel like going lowkey throwup feel hella dizzy depressed yay
Beckie08, hope get tell téa one day much done depression evil thing ha  suffering depression feeling suicidal something im proud im  anxiety keep knocking
LindfordHedgies, brilliant fact last nights episode like therapy session
DepressedWBlack, feel people say allllll time suicide attempt survivor like yeah thats daily struggle  also family suicide attempt survivor take im dead jokes problematic  moving pit hell lol yet im surprised every single time get depressed smh  adrenaline masks anxiety know youll eventually feel everything slow  ill probably pay anxiety tomorrow yolo  fact gotta pay front therapy dont even know goodsmh  sounds messed talkspace didnt even want work since severe depression  goes difficult season depression overspends things selfcare  anxiety like  goes day without depressed plans depressionfree rest life  omg wish therapy teenager stigma real back lot us lack  therapy bills proportional trash father  need lowcost therapy includes dbt cbt even innovative approaches like emdr need effective th  person bpd traits low cost talk therapy essentially talking suicidal hour  bad therapy worse harm therapy sometimes think need explicit de  love black ppl start late cuz lessens anxiety im shook like  would like add let us complain expensive therapy lot lowcost options truhas
Alexnyc24Seven, mind control project soul catcher todays mk ultra monarch programming trauma based httptco7wuxufc9hh via
makeitren_, therapist made admit hospital going attempt suicide although im glad
CarolynCNowak, hot damn got therapy tomorrow thank lord  would depressed person  maybe greatest generation also undiagnosed ptsd kids fucking twats
caraghpoh, sometimes think im getting depressed realize need clean filthy glasses
HeeeyGK, stress anxiety unnecessary worry everything thats pulling back need sen
ofanobody, times dont want get well mentalhealthawareness  responding well treatment getting suicidal feelings talking therapy increased meds psychiat  planning suicide difference euthanasia suicide  suicideprevention suicideloss suicideawareness  suicideprevention mentalhealth selfcareweek nhs  medication incresed feeling numb mentalhealthawareness dyslexia depression suicideawareness
heavymisery, ok finally understand im suicidal depressed wanna die  lowkey wanna cry lowkey wanna commit suicide  im still depressed mom  one time school made take psychological test got mild depression guidance counselor said really  seems like depression kicking time whip depression food  depression vibes
pineapplebiggs, hate stigma around bi girls straight gals need hug cuddle ill right doesnt  best friend hasnt talked week punishment worst type stress anyone could honestly ripping apart  feelin sick anxiety worryin ppl bein sick loophole emetaphobia  somethin always hate passion ppl say theyre depressed upset ppl say
fragilestardust, started smoking bc mom thought stress relieving got hook  probably suffers depressive disorder like feel depressed
fadingxwxy, body slowly shutting dumb eating disorder overwhelming anxiety none
cantstalkmenow, cant stress enough need cute girl come fuck right  moving another country top depressed suicidal kinda much kinda pulling apart
ndinimz, well ill depressed suicidal really strong still jus  whinny kid klu first year tu xyah nak buat stress tension sgt lah bknnya ada report present powe
blondedjosie, feeling depressed please marry sure compliment call help  ugghhhhhh anxiety lole
edwinragas_, suicide heavy mind happens im sorry  wonder parents would say told cry every night really bad anxiety many ins  suicide sometimes answer actually  suicide note already written time people care itll late  depression battle wanting alone wanting alone  kingina ngayon lang ako nagsalita ulit pero pagtawanan niyo ako dahil sa depression ko tingin niyo nakakatuwa kingina  fuck call someone edgy venting suicidal depressed youre funny making fun someon
yyslovebot, conditional depression isstupid bc best night life suddenly something tiny  cant fucking talk people go college go therapy want die  hear parents talking depressed im wall away lmaooooooo  im fucking sad guess depression dont go away ur holiday lmao  oh god im sad ive gotta wait till sunday chloe therapy session lmao hurts much really hang long
wanderingsameer, read news says 20 women divorced husbands due addiction pubg lmao
AuthorDanJones, reluctantly selfemployed following becoming depressed amp suicidal last job undiagno  latest healing sleep meditation reduce stress healing meditation  mentalhealth story autistic individual actuallyautistic  part 44 conversation mirroringhands hypnosis mindbody therapy counselling  part 34 conversation mirroringhands hypnosis mindbody therapy counselling
xceeceee, always get depressed happiest days year dont get
crystalteared, god reading makes mad grades never important wellbeing im sorry parents dont see  swear cry movie im gonna cancel bts hate crying infront people  especially bts freaking campaign anti violence dont think would pr
yoshisunwoo, tune week see schizophrenic mom go really big store depressed anxious child
GinaFatale, whole son living help heartless person care wellbeing ch
Killarybanks, basically told depressed amp feeling suicidal wish support system like others
Hulkindex, car dumb accelerating sometimes oh boy giving anxiety
__BRAT_, please dont propose public social anxiety disorder cant take
magskathryn, love im literally anxiety attack bus im trying breakdown front everyone
raawwr_xD, wish didnt panic attacks wish didnt depression wish didnt suicidal thoughts  im genderless friendless meaningless trashy emo lonely depressed band obsessed anxiet  anxietys killing depression making kill  hi need friends im lonely social anxiety im emo im trash im depresssd im band obssesed please  mcr comes publicbut remeber social anxiety  blood red tears blue depression anxiety  blood red tears blue depression anxiety  first realize depressed try something self harmect works  246 cures depression  great im another anxiety attack hewp  im starting feel less alone feels good knowing people care still anxiety de
fortgalahad, scene reminded egil hes also gay depressed dramatic flies mech  shout every person witnessed public abuse walked away like wow good thing thats
SJSior, suicidal depression created mental fantasy distract mind could fall asleep fant  34k reached nanowrimo18 track get lot today trying engage full anxiety breakdown
TheBigCahoona, damn giving anxiety attack  considering ive suffered serious chronic depression entire 54 years planet
elliebun_, well depression exists
connertroi__, dont want ever leader honestly anxiety would ruin everything try open men  ya maybe bc ive depressed suicidal past im actually happy dam
_smiley_face_32, literally mood day headaches post concert depression still action good comb
kinobff, dont like bts  havent active ive busy dealing high levels stress anxiety im movin
harveycullen15, im also coz im depressed running helps  might make private account depressed lil bitch
SAIK0M, bts korean concept representing country beautiful way groups lat  saw bts also dude embarrassing call fa
txhippie52, struggled extreme anxiety currently housebound major depression suicidal idea
ehiwannadie, depression im bipolar since yrs old ive diagnosed peop  dont need therapist tell im depressed think pretty fucking clear im depressed  would like thank depression suicidal thoughts fucking thankful feel like shit sarcasm  depression really grip  love suicide hotline doesnt answer calls maybe sign stop trying
Bcofthemonster, oh hello depression youre back stronger ever
jessicaannee95, feeling good one negative thing anotherwith built suicidalthoughts amp mentalillness  suicide never option people remember loved many quote seriously ju  todays positive reminder proud jessicaannee makechesterproud staystrong mentalhealthawareness  sick stigma sick judgement stop judging things dont understand kind sicknotweak  hey miss makechesterproud sunset staystrong mentalhealthawareness suicideprevention  todays positive reminder worth jessicaannee makechesterproud staystrong mentalhealthawareness  20 days self harm clean anxiety depression mentalillness positivevibes lpfamily  thank sticking journey way 18 days clean anxiety depression mentalillness
gothicyangel, exs commit suicide one hung prison getting bullied life ha  family stood hard bi polar depression amazing co  much stress landlord telling get weeks due leave message wife
angelfairyppjm, love bts bye
MclernonPaige, reading therapy reading also reason need therapy feel
MentalNOS, went pals got second opinion guy removed bpd diagnosis refe  yeah emailed swore youre going assess people bpd tell  asd study questionnaire online couple hours ago bloody bpd evaluation  knew boy 13 hospitalised ocd poor sod carried spit cup everywhere coul  actually yes im starting lithium salts next week bipolar disorder god gave  im dxed asd everything dyspraxia rings earstabbing bells adhd wish  400 425 450mg still getting depressed theyre reluctant increase phenelzine without  shit psych saw opposed nonshit ones said asd bipolar dxes private  depression resistant treatment inadequate present ha  would like answer many pts given diabetes yo  happens hint bpd prime others  livid psych given firm dx bpd despite giving recent disch letter wi  im depressed like im choosing walk talk things slowly even tho look  always feels like time like im depression hypomania like im delibe  theres manic depression family havent got lot go really mean yo
ElOroDorado, couldnt buy circumcision created ptsd thing amp decided te
hafifrazi, drinking coffee gives anxiety never drink ever
ptari_dactyl, sin la salud mental podemos ser sanos mentalhealthmatters  overwhelming amount trauma guilt feel aftermath 3minute statement staf
SiriCerasi, theyre obviously related think anxiety general feeling doom vs ocd
irlbloodelf, still cant believe put big tin microwave today man ive got ptsd flashing lights  money came instantly spent lingerie cos cyber monday serious addiction goodbye 140  last therapy session done god bless ideal one could liked metal proper sweetheart
CurtisLDuncan, ignores black mens obvious pain trauma black male victims domestic violence laughed black parents  result early childhood trauma also dealt adhd extremely low self esteem suicidal  trauma subsequent feelings worthlessness trigger many black males insecure narcissistic adhd  trauma bigger issue bigger problem black men boys socalled toxic masculinity early childh  definitely buying dead cdcscientist committed suicide govt often murders scientists potenti  ericagarner suffered asthma condition caused environmentalracism pollution stress racism
mirandoch, depression anxiety asd think eupd record despite nobody ever giving diagnosis person  20 years able get therapy nhs ive referred complex  brother killed year ago cant put mum second suicide gone ha
LauraNKamienski, okay depression usually hits really hard holidays im usually suicidal thanksgiving
MikaGlitch, im alive survivor self harm suicidal thoughts attempts suicide accounts prou
Aca_Awkward26, please mindful whos ptsd triggering razor blades syringes
madmedicalman, looks nice clean tidy patient whoops paramedic mysjaday trauma
SoulfulOfWealth, children course prior mentalillness gave life meaning lots lots  anytime thank ongoing tips myths tricks come mentalillness alw  wasnt adhd ocd diagnoses able put togethe  better expert topic agoraphobia anxiety ask  try mindful using deficit based language terms add stigma mentalillness  idk think theres definitely element truth comparing people trauma teen  theres anxietycure mindfulness staying anxiety place thr  depression  sometimes jail place individuals mentalhealth issues able find stabili  retweet mine ill retweet mentalhealth peersupport keeptalkingmh mentalhealthawareness  thanks friends followers mentalhealth peersupport openly sharing tria  true many techniques help alleviate anxiety panicattacks  therapy invaluable tool wish didnt wait long give chance im typical stubborn  carried diagnosis long time could believe adhd causing 95 anxiety  im happy found source anxiety debilitating anxiety struggled wi  depressed base decisions know feel feel depression know time  adhd bipolar present similarlyi think diagnosing individuals done away  misdiagnosed treated suicidal bipolar well decade unsuccessfully might  stress major trigger individuals mentalillness mindful good stress things enjoy doin  never thought wildest dreams literally losing everything mentalillness friends  im usually fan meds anxiety bc theyre usually addictive  thats wonderful keep good work wish engaged therapy younger age never thought  interesting sure making switch positive impact anxiety  anytime feel depression put blinders dredge grey fog  bible says man asked god strength god gave man hardship struggle mentalillness
kendric20001, feeling cause bullied dealt suicide thank mean
MallieRydzik, totally get also suicidal still therapy medicated major de  anxiety levels rising trump pressconference like  really appreciated interview someone else living hope thriving ocd aspiring aut  probably remember perfectionist super nerd goody goody undiagnosed ocd
hashlyyy, im used one puts full effort communicating whenever someone texts first get bad anxiety
BabyBear20689, going sad lonely christmas christmas2018 loneliness depression mentalhealth  question iswho one turn needing help advice support depression mentalhealth  mentalillness bitch  happened yes im 29 amp yes ive come therapy session amp sat reception reading  sensible get twitter get sleep mind youre worthless pathetic depression today  report forms suicide amp selfharm intent plan act dwp pip reply  everyone train become mentalhealthfirstaider mentalhealth important
KarlWomack3, rotherham abuse enquiry back news convicted rapist see son  forms bullying made illegal bullying forces victims suicide cla  know residents give able take staff steal abuse
eroticwetatomic, ex let tell took years undo trauma went una
Reinc_stone, yall coming bts awards mma legendary af performance crawling way back  hating bts breathed hard mic singing live  maybe take ass bts place favs face  army bts cant relate stan legends  got inspired bts charity work  aaa2018 dumped noon nap 45 hrs long shit show yall dirty bts bow
BPDManicBirdie, touchy subject tried commit suicide cant believe someone would  story pregnancy induced bipolar bipolar psychosis  thats hard one knee jerk reaction say depression mania send psychosis  new blog post midsummer nightmare last hopefully final suicide attempt bpd  hes maniac half clown seriously hes australian author bipolar dis
su_naamii, start ranting depressed suicidal
chiefokuani, sound like depressed
QueenOfChibiArt, honestly didnt expect around ive suffering depression excuse didnt feel lik
JJGardner9, short powerful documentary investigates longterm effects ptsd vietnam veterans  grandparents step addiction sidelines parents
Dream_thinny, mom doesnt reply text anxiety shes dead wwhat anxiety body probably cold  stressful anxiety related depressed day wanted tell mom guess  website suggested really want cure anxiety write list things worry  tbh someone could abuse hell relationship would still stay im desperate love  think depends never physical abuse emotional abuse  horny weeks im depressed anything lmao sad life  shitty day today moms depression seems back  universe stop bitch towards mom shes gone though eating disorders depression abuse  mom skinny doesnt eat shes stressed depressed looking like whale cant stop eating
phyllyhyll20, need understand everyone responds trauma differently everyone respond book
VeganNana15, terrorist organization amp child abuse via  fucking depressed google search hunting regulations live makes want humansarepsychotic
simalspace, hi anyone want new years card pcy osh bts freebies must mutual  2018 bangtans year bts btsxmma  congrats lights lives mma wins btsatmma bts  idol 35 melon btw stream bts  burn stage movie amazing love bts happy experiencing ascent legendary legends legendom  losing complete interest kpop whole except maybe bts  ive continued ptsd dreams worst one last night dreamed confront school shooter
ToddRomanyshyn, depressed suicidal transform opposite wis  please let know youd like phone numbers suicide hotlines talk tr  please let know youd like phone numbers suicide hotlines talk
Detective_7th, stfu depressed loser
SistaSoldier926, metoo metoomovement tried commit suicide suicideawareness several times low self esteem  metooms white asked class sexually abuse raise hand everyone quiet  metoomovement ms white asked class sexually abuse raise hand everyone
cocofern142, finally little peace years therapy longer actively suicidal  helps realign jaw eating stress constant yawning big indicator respiratory infection lol
idclyric, im leaving twitter shit making depressed bitch like life already falling  yes ugly depressed suicidal yes one cares
urfavbaldboi, every time see name brain says like every song need therapy
frnk__oreo, someone know severely depressed need fucking talk somebody best friend mo
roshini911, much stress think cause top hours day spend least 45 hours trav  updated cop fired anxious gee wonder cop really anxiety
