Sibusiso_Mtambo,"['mighty', 'jesus', 'tonight', 'broken', 'pray', 'name', 'family', 'mental', 'every', 'depression']"
Anubis213_,"['delusions', 'hypomanic', 'universities', 'accommodate', 'layer', 'repeated', 'fond', 'homework', 'afab', 'assigned', 'promised', 'unsubscribe', 'multiple', 'female', 'itll', 'disorders', 'quite', 'manic', 'seek', 'attempts', 'game', 'despite', 'adhd', 'carr', 'happens', 'often', 'wont', 'bed', 'stay', 'everyone', 'fun', 'wouldnt', 'bipolar', 'ones', 'come', 'thoughts', 'take', 'still', 'talk', 'cant', 'ass', 'know', 'people', 'get', 'depressed', 'im', 'depression']"
GhalnaTheDragon,"['fandom', 'without', 'already', 'maybe', 'would', 'even', 'suicidal', 'depressed']"
jlover33,"['drepessing', 'lyrics', 'gives', 'tweet', 'mean', 'sometimes', 'want', 'much', 'ass', 'think', 'dont', 'people', 'suicidal', 'anxiety', 'depressed', 'im']"
kimbreadly,"['basis', 'symptoms', 'daily', 'heart', 'attack', 'anxiety']"
baekhuntrbl,"['ddid', 'boysssss', 'instead', 'seeing', 'else', 'season', 'mma', '2018', 'anything', 'happen', 'cause', 'thats', 'bts', 'depression', 'im']"
Mal_Mal_Cee,"['extra', 'left', 'know', 'even', 'dont', 'stress']"
lovetaeha,"['momoland', 'strongest', 'bigger', 'anymore', 'fan', 'damn', 'coming', 'bts', 'ways', 'shit', 'hate', 'fucking', 'stan', 'people', 'take', 'cant', 'really', 'time', 'im']"
cameronjsamuels,"['worldaidsday', 'stigma', 'end']"
anythinggohs,"['12', 'suffered', 'relate', 'pretty', 'eating', 'since', 'much', 'ive', 'anxiety', 'depression']"
TherapistTee,"['reduction', 'perception', 'selfesteem', 'lead', 'holiday', 'cope', 'atychipohoa', 'stressmanagement', 'familyhustle', 'provide', 'blues', 'supplemental', 'teachers', 'elementary', 'parentingtips', 'education', 'namicnow18', 'join', 'keystone', 'pennsylvania', 'annual', 'tools', 'coping', 'announce', 'guide', 'considering', 'psychiatric', 'evaluation', 'reasons', 'nami', 'adolescent', 'video', 'mentalhealth', 'concerned', 'conferenc', 'tough', 'signs', 'discuss', 'parents', 'teen', 'season', 'kids', 'family', 'sent', 'happy', 'around', 'also', 'ways', 'know', 'child']"
ReggyReturns,"['getfriendsordietrying', 'fella', 'indeed', 'pure', 'poor', 'lol', 'abuse']"
Frances_Larina,"['learned', 'adaptations', 'repression', 'included', 'judgement', 'dissociation', 'expectations', 'whenever', 'aba', 'childhood', 'often', 'etc', 'trauma', 'lost', 'much', 'amp', 'ki', 'id', 'nt']"
pea_gravel,"['artisan', 'adagio', 'gc', '6042152094', 'teas', 'favorite', '24', 'share', 'hours', 'save', 'addiction', 'good']"
85c10_javi,"['cool', 'idk', 'yall', 'wrong', 'joke', 'always', 'ppl', 'tf', 'care', 'really', 'thing', 'like', 'depressed', 'depression']"
MakeWay4smile,"['episode', 'via', 'bpd', 'worrysome', 'overreacting', 'differences', 'comorbidity', 'splitting', 'episodes', 'split', 'mixing', 'ignoring', 'firework', 'drown', 'lungs', 'heard', 'illnesses', 'songs', 'scared', 'imma', 'hehe', 'includes', 'billion', 'pissed', 'receiving', 'grandpa', 'bipolar', 'borderline', 'breakdown', 'extremely', 'compliment', 'experiencing', 'fine', 'attempted', 'victims', 'swear', 'victim', 'move', 'problems', 'vs', 'personality', 'simple', 'symptoms', 'afraid', 'looks', 'rting', 'hotline', 'hello', 'next', 'hopefully']"
MiloJo89,"['temptingbut', 'handle', 'couldnt', 'adhd']"
KaraHalford,"['heightened', 'sinking', 'bones', 'blackening', 'chiggers', 'eaten', 'alive', 'starting', 'soul', 'second', 'already', 'school', 'week', 'feel', 'depression', 'im']"
ryleevictorian,"['blamed', 'tendencies', 'single', 'etc', 'person', 'health', 'mental', 'every', 'suicidal', 'anxiety', 'depression']"
spaceaqueerius,"['discipline', 'boundaries', 'without', 'abuse']"
MurrayMonday,"['worked', 'aft', 'problems', 'telling', 'started', 'tomorrow', 'broke', 'pretty', 'okay', 'didnt', 'sure', 'gonna', 'years', 'mentalhealth', 'feeling', 'going', 'work', 'people', 'depressed', 'im']"
Edpga0897,"['heartbroken', 'listening', 'feels', 'less', 'person', 'suicidal', 'depressed']"
BeckyOnTheRadio,"['seasonal', 'wonders', 'detoriated', 'faster', 'pieces', 'insanely', 'trapped', 'rout', 'lamp', 'possibly', 'affected', 'gorgeous', 'seam', 'compulsions', 'celebrate', 'ocd', 'cloud', 'delightful', 'blinding', 'frustrating', 'difficult', 'youd', 'completely', 'fallen', 'bright', 'bought', 'worldmentalhealthday', 'grateful', 'light', 'slept', 'affect', 'dress', 'slightly', 'medication', 'front', 'attacks', 'woke', 'bed', 'works', 'taki', 'open', 'imagine', 'remember', 'sad', 'night', 'relate', 'little', 'brain', 'panic', 'theres']"
ArwenFalvey,"['halcon', 'tables', 'canadian', 'armed', 'booths', 'grown', 'sought', 'passed', 'detector', 'changer', 'trippy', 'floor', 'map', 'respected', 'professor', 'incredibly', 'forces', 'woman', 'encou', 'close', 'ford', 'game', 'stuff', 'gets', 'mine', 'test', 'without', 'feels', 'ptsd', 'brain', 'isnt', 'wouldnt', 'happy', 'sometimes', 'bad', 'lie', 'would', 'say', 'really', 'dr', 'know', 'even', 'therapy', 'dont', 'like', 'anxiety', 'im']"
nickloppenborg,"['gnawing', 'soul', 'away', 'anxiety']"
EmilyThorn2018,"['begged', 'ptsdcptsd', 'lifelong', 'psycological', 'qualities', 'surrounding', 'graduate', 'assault', 'dissociate', 'evidence', 'explains', 'crucial', 'kills', 'emotions', 'damaging', 'effects', 'illnesses', 'stopping', 'neglect', 'headaches', 'beyond', 'frustrating', 'bpd', 'diagnosis', 'caused', 'quite', 'threat', 'fake', 'constantly', 'stigma', '15', 'adhd', 'hopefully', 'lives', 'emotional', 'related', 'mine', 'illness', 'treatment', 'due', 'soo', 'sexual', 'abuse', 'done', 'physical', 'issues', 'fuck', 'friends', 'also', 'bit']"
uhtobehonestwtf,"['lonely', 'tired', 'money', 'sad', 'still', 'people', 'get', 'suicidal', 'depressed']"
transegghatcher,"['informed', 'consent', 'required', 'letters', 'equation', 'cases', 'obsessive', 'dysphoric', 'hairline', 'daily', 'used', 'ocd', 'many', 'things', 'psych', 'thoughts', 'take', 'muc', 'therapy', 'like', 'th']"
Meow_gnicifent,"['pays', 'jump', 'anime', 'pills', 'cool', 'exactly', 'attention', 'bunch', 'buildi', 'shut', 'step', 'others', 'feels', 'save', 'watching', 'wanna', 'idk', 'kill', 'actually', 'look', 'addiction', 'trauma', 'tell', 'thats', 'back', 'people', 'help', 'take', 'say', 'need', 'think', 'eat', 'ok', 'suicidal', 'one', 'depressed', 'depression']"
sophiemiddIeton,"['worldmentahealthday', 'questions', 'depth', 'tendencies', 'sadly', 'together', 'pls', 'attempts', 'glad', 'personal', 'coming', 'break', 'ppl', 'ask', 'stigma', 'health', 'mental', 'dont', 'ok', 'suicidal', 'depression', 'im']"
RaniaElnahrawy,"['عشان', 'دين', 'أم', 'كسمك', 'مفيش', 'رأي', 'إننا', 'مينفعش', 'نحبس', 'الناس', 'لبسهم', 'وكسمك', 'تاني', 'ده', 'مرض', 'مش', 'صفة', 'تستخدم', 'dragged', 'course', 'mama', 'amazing', 'shopping', 'goes', 'literally', 'bec', 'bipolar', 'af', 'back', 'depressed']"
unti1death,"['epic', 'yalli', 'allowance', 'naptime', 'flexed', 'sneaky', 'festive', 'nap', 'exhausted', 'anyway', 'saved', 'tweets', 'daily', 'angry', 'little', 'yall', 'okay', 'didnt', 'bts', 'today', 'going', 'make', 'life', 'really', 'think', 'depression', 'day']"
TehreemAyazz,"['sickness', 'troma', 'neglect', 'suffering', 'feel', 'thing', 'like', 'depression', 'sui']"
ohthawadi,"['breakups', 'withdrawal', 'addicted', 'weeks', '25', 'couple', 'goes', 'become', 'body', 'drug', 'ago', 'deal', 'addiction', 'thoughts', 'mind', 'love', 'hard', 'suicidal', 'like', 'depression']"
NaiYrAisaNai,"['shocked', 'colleague', 'planning', 'pressure', 'committed', 'ago', 'days', 'work', 'suicide']"
dravenmercury,"['waves', 'random', 'gettin', 'love', 'hit', 'depression']"
SeaveysH,"['cutting', 'slept', 'suicidalbut', 'gabbie', '316', 'mention', 'barely', 'genuinely', 'totally', 'honestly', 'guys', 'super', 'hate', 'anxious', 'pretty', 'cut', 'panic', 'wouldnt', 'yet', 'might', 'thinking', 'havent', 'support', 'hour', 'sure', 'sleep', 'attack', 'stop', 'friend', 'lot', 'mind', 'also', 'people', 'cant', 'fuck', 'rn', 'get', 'depressed', 'im', 'depression', 'like', 'suicide', 'anxiety']"
MumfordJoy,"['truly', 'romanticize', 'brink', 'degree', 'brings', 'easy', 'afford', 'school', 'getting', 'addiction', 'going', 'amp', 'make', 'real', 'suicide', 'depression', 'im', 'th']"
sux_me,"['sorta', 'primary', 'wanting', 'knowing', 'related', 'school', 'great', 'kill', 'fucking', 'wr', 'still', 'ass', 'life', 'really', 'even', 'like', 'suicidal', 'depressed']"
boyohwow,"['scantron', 'writing', 'note', 'suicide']"
Edenburgh1985,"['familiar', 'sound', 'gets', 'free', 'done', 'hope', 'things', 'stress']"
CynicalHuntress,"['judge', 'soul', 'dont', 'depressed', 'im']"
SlowPsycho,"['fair', 'quit', 'since', 'addiction', 'years', 'dont', 'ha']"
Sylphy_Bat,"['ハーレイがharleydavidsonに乗っていた', 'asylum', 'knight', 'squadかな', 'ペンギンがmy', 'decisionと言っているのも微妙に引っかかる', 'でバットマンは自分を死に向かう者と定義づけたがペンギンとバットマンの完全な対比を生み出しているような気もしてくる', '今回のベインペンギンバットマンほぼみんなi', 'amと言っているわけだがi', 'batman', 'bane', '全てが効いてくる号になっているそしてみな何かしらアイデンティティを失い', 'suicide', 'suicidal']"
none_the_less00,"['hunger', 'boost', 'bringing', 'increase', 'raise', 'talking', 'affect', 'mentalillness', 'awareness', 'living', 'keep', 'mind', 'happen', 'anyone', 'today', 'gonna', 'stop', 'things', 'thoughts', 'amp', 'life', 'fuck', 'even', 'like', 'stress', 'suicidal', 'suicide', 'th']"
SuccubusDarling,"['commissions', 'retail', 'costume', 'reminds', 'fucks', 'exactly', 'sucks', 'gets', 'anxious', 'two', 'sick', 'give', 'really', 'could', 'much', 'health', 'way', 'know', 'dont', 'depressed', 'depression', 'im']"
MikeMac63506212,"['innocent', 'deserves', 'chemical', 'hell', 'die', 'addiction', 'person']"
_nahisham,"['balik', 'meeting', 'baru', 'ingat', 'awal', 'hari', 'nak', 'back', 'sis', 'stress', 'ni']"
injiduducu,"['disagreement', 'refusing', 'religious', 'identified', 'carrying', 'campaigner', 'identificat', 'along', 'someones', 'belief', 'identity', 'vocal', 'legal', 'gender', 'girl', 'abuse', 'self', 'amp', 'go']"
findyowings,"['works', 'wanna', 'brain', 'understand', 'adhd', 'better']"
YonSolitary,"['vcat', 'abuses', 'disabled', 'tribunal', 'appointed', 'meanwhile', 'justice', 'women', 'seek', 'hands', 'continue', 'experience', 'suffered', 'fact', 'abuse', 'ag', 'go']"
rose_twist,"['eviction', 'bulimia', 'supported', 'admitted', 'eupd', 'housing', 'psychiatric', 'facing', 'nowhere', 'summer', 'problems', 'resid', 'told', 'due', 'severe', 'ocd', 'ward', 'mentalhealthawareness', 'suffer', 'mentalhealth', 'today', 'health', 'need', 'year', 'mental', 'suicidal', 'depression', 'anxiety', 'go']"
ElaXora,"['intersex', 'richard', 'storyare', 'italythis', 'pandemic', 'pathological', 'labelling', 'binarymatrons', 'scandals', 'thebinarywall', 'promoting', 'pathologized', 'branding', 'horrific', 'across', 'western', 'justice', 'covered', 'doctors', 'rates', 'response', 'igm', 'disagree', 'gov', 'huge', 'uk', 'thread', 'started', 'bring', 'current', 'name', 'problem', 'count', 'abuse', 'part', 'inter', 'led', 'person', 'people', 'depression']"
SteinTesla,"['telepathy', 'physics', 'honesty', 'facts', 'aspergers', 'truth', 'empathy', 'autism', 'psychology', 'brilliance', 'flawed', 'personas', 'characters', 'fission', 'morals', 'explained', 'jinn', 'wraiths', 'devils', 'angels', 'proof', 'censorship', 'bird', 'spider', 'communications', 'oaths', 'freud', 'homicide', 'leech', 'singula', 'strategy', 'prosperity', 'union', 'futility', 'reactions', 'spectrum', 'stranger', 'fiction', 'moral', 'amp', 'shining', 'diamond', 'random', 'fusion', 'philosophy', 'religion', 'political', 'dignity', 'parasite', 'lows']"
Jygrcvry,"['badly', 'comforts', 'kaso', 'mapili', 'tangina', 'aww', 'waking', 'messed', 'worst', 'guy', 'ka', 'everything', 'feeling', 'want', 'every', 'time', 'po', 'ak', 'na', 'anxiety', 'depressed', 'di']"
f_scottphytz,"['attempted', 'lonelier', 'enterprise', 'forth', 'intervention', 'assip', 'interventions', 'complicated', 'thousandpage', 'manual', 'pharmaceutical', 'inherent', 'closure', 'reveal', 'suicides', 'cries', 'zealously', 'guarded', 'program', 'billion', 'greater', 'harming', '90', 'secrets', '22', 'short', 'reached', 'risk', 'notes', 'attempts', 'wanted', 'resea', 'write', 'far', 'system', 'leave', 'hospital', 'within', 'treatment', 'follow', 'two', 'attempt', 'little', 'arent', 'talking', 'theres', 'lack', 'days', 'nothing', 'people']"
Fabiano3333,"['mike', 'hello', 'hopefully', 'else', 'leave', 'sorry', 'find', 'alone', 'late', 'someone', 'much', 'really', 'abuse']"
chicpussykat,"['cocaine', 'earthquake', 'beef', 'orgasm', 'dissolves', 'relaxed', 'anyso', 'inapp', 'dingbat', 'seemed', 'tension', 'including', 'inspire', 'woman', 'telling', 'cont', 'sorry', 'male', 'wouldnt', 'put', 'trying', 'much', 'amp', 'row', 'mea', 'oh', 'eg', 'see', 'know', 'think', 'dont', 'suicide', 'get', 'anxiety', 'ive', 'im', 'one']"
haitsuya,"['neurotypicals', 'posthypermania', 'slightly', 'cuz', 'cured', 'woke', 'glad', 'tried', 'fun', 'worth', 'morning', 'actually', 'something', 'less', 'think', 'today', 'suicidal', 'depressed', 'im']"
Suicidal_Art,"['hold', 'wonder', 'longer', 'break', 'much', 'take', 'anxiety']"
lipglosshoe,"['20s', 'expectations', 'lived', 'worry', 'fact', 'havent', 'cause', 'actually', 'exp', 'stress']"
ilovinari,"['truth', 'worthless', 'makes', 'bit', 'kno', 'feel', 'depressed']"
ChuckYoLife,"['finds', 'attractive', 'dateable', 'gym', 'smiling', 'containing', 'alot', 'working', 'anger', 'girl', 'happy', 'sign', 'going', 'see', 'stress', 'im', 'depressed']"
fuffycurtis,"['hivaids', 'address', 'issues', 'lets', 'much', 'real', 'depression']"
UwUgirl69,"['classes', 'meal', 'exercise', 'blow', 'water', 'stomach', 'eats', 'seasonal', 'slept', 'drink', 'needs', 'doesnt', 'psychology', 'boy', 'havent', 'round', 'shit', 'oh', 'also', 'someone', 'much', 'year', 'think', 'every', 'anxiety', 'depressed', 'depression', 'si']"
PercyMeredith,"['psychologists', 'distress', 'researching', 'adolescent', 'currently', 'level', 'treat', 'many', 'amp', 'anxiety', 'depression']"
Emily30Red,"['triggered', 'near', 'truly', 'helped', 'shit', 'oh', 'thinking', 'actually', 'ptsd', 'someone', 'really', 'people', 'suicidal', 'like', 'depression']"
thani_abv,"['deans', 'saturday', 'craving', 'interview', 'monday', 'roof', 'already', 'family', 'list', 'made', 'week', 'tea', 'last', 'thats', 'today', 'much', 'still', 'time', 'depressed', 'anxiety', 'im']"
ReezahNaroth,"['630', 'panicking', '900', 'panting', 'study', 'woke', 'write', 'thinking', 'ptsd', 'today', 'much', 'still']"
WEAGLEMAN,"['gambling', 'medical', 'grewal', 'cdnpoli', 'groping', 'hormones', 'condition', 'explain', 'often', 'mentalillness', 'addiction', 'please', 'also', 'suicidal']"
thelocalwitch,"['steps', 'empowering', 'creating', 'drastically', 'reduces', 'distracted', 'theater', 'actress', 'backstagecrew', 'sosie', 'bacons', 'portrayal', '13rw', 'accurately', 'portraying', 'notsopretty', 'apology', 'following', 'sincere', 'disorder', 'youd', 'jesus', 'struggled', 'means', 'massive', 'slept', 'instead', 'bipolar', 'losing', 'music', 'levels', 'young', 'sometimes', 'wellbeing', 'months', 'someone', 'friend', 'understand', 'said', 'thank', 'lost', 'havent', 'adhd', 'ago', 'person', 'great', 'take', 'side', 'actually', 'doesnt']"
courtdelaknight,"['send', 'twice', 'shopping', 'online', 'strong', 'addiction', 'bts', 'help']"
smthnbouthim,"['cheering', 'bew', 'debut', 'gyulfriend', 'brockhampton', 'hardly', 'competition', 'tickets', 'mega', 'reminds', 'lmaooo', 'cried', 'bts', 'stage', 'group', 'honestly', 'ton', 'looking', 'boy', 'didnt', 'friends', 'sex', 'shit', 'get', 'like', 'depressed', 'im']"
ndhzt_,"['acearo', 'identities', 'normal', 'abt', 'weird', 'felt', 'severe', 'happens', 'found', 'stop', 'trauma', 'would', 'depression']"
mkfcca,"['qt', 'clearly', 'close', 'watching', 'extreme', 'enough', 'rest', 'right', 'trauma', 'us', 'th']"
rachellovesdnp,"['youtube', 'opening', 'helping', 'assholes', 'cope', 'proud', 'mine', 'dan', 'omg', 'said', 'hes', 'lot', 'thank', 'really', 'get', 'anxiety', 'depressed']"
Geordie_Patriot,"['2001', 'moaned', 'sectioned', 'agreed', 'pity', 'bipolardisorder', 'producer', 'flying', 'beliefs', 'bipolar', 'diagnosed', 'question', 'facebook', 'ideal', 'existence', 'sincere', 'episode', 'lived', 'hahaha', 'psychotic', 'manic', 'groups', 'disorder', 'since', 'advice', 'experience', 'single', 'music', 'group', 'diagnosis', 'point', 'believe', 'world', 'always', 'lol', 'give', 'youre', 'good', 'self', 'dont', 'going', 'life', 'fuck', 'know', 'therapy', 'every', 'ps', 'people', 'time', 'day']"
MinteaGaming,"['services', 'leads', 'kept', 'mmmm', 'kicking', 'yah', 'school', 'took', 'called', 'away', 'nothing', 'child', 'going', 'suicide', 'anxiety', 'depressed', 'depression', 'im']"
_rombomb,"['deposit', 'realized', 'direct', 'cuz', 'cured', 'soon', 'broke', 'somethin', 'hit', 'depressed', 'im']"
JasonPeringer,['suicide']
RamseyShamoun,"['unifinish', 'engineering', 'germany', 'thermody', 'sensitivity', 'maoi', 'medicine', 'lift', 'phd', 'interested', 'relationships', 'imagine', 'travel', 'cured', 'early', 'working', 'serious', 'things', 'going', 'fuck', 'want', 'depression', 'anxiety', 'go']"
GGooober,"['immmmm', 'bitches', 'intensive', 'outpatient', 'teacher', 'stronger', 'currently', 'least', 'serious', 'school', 'back', 'everything', 'cus', 'right', 'mad', 'hate', 'fucking', 'stress', 'ever', 'depression', 'th']"
mariaaalmalik,['depression']
ahmed_alzahaf,"['south', '2011', 'instance', 'indeed', 'government', 'rates', 'worked', 'korea', 'since', 'yes', 'hard', 'get', 'suicide']"
AlexandriaDVine,"['hooray', 'shorterthanusual', 'morepotentthanusual', 'sessions', 'therapy']"
plantkid_,"['cw', 'animal', 'happening', 'assume', 'main', 'sexual', 'whats', 'idk', 'maybe', 'issue', 'abuse', 'makes', 'mad', 'shit', 'know', 'people', 'say', 'dont', 'time', 'like', 'anxiety']"
DanaWard124,"['desk', 'sells', 'magical', 'tbh', 'worse', 'especially', 'wont', 'kind', 'job', 'kids', 'didnt', 'whole', 'lol', 'anyone', 'week', 'give', 'getting', 'tell', 'love', 'never', 'life', 'suicidal', 'like', 'depressed', 'depression']"
BanounAneece,"['nationalists', 'patriotic', 'symbols', 'shouldnt', 'surprised', 'national', 'comes', 'come', 'abuse']"
cubedreamer,"['malicious', 'lawsuit', 'inm', 'blackmail', 'argument', 'irresponsibly', 'allowed', 'jail', 'meant', 'must', 'women', 'tras', 'needs', 'place', 'emotional', 'name', 'fun', 'lose', 'used', 'sue', 'hell', 'hope', 'abuse', 'pol', 'suicide']"
Self42949001,"['hopeless', 'bestfriend', 'boyfriend', 'pills', 'impulse', 'liar', 'taken', 'fake', 'seriously', 'taking', 'buy', 'skin', 'alone', 'thinking', 'literally', 'better', 'care', 'sad', 'tell', 'thoughts', 'someone', 'help', 'make', 'feel', 'need', 'suicide', 'depressed', 'one']"
ieemelon,"['wtf', 'reason', 'watching', 'living', 'theres', 'keep', 'lol', 'makes', 'shit', 'going', 'know', 'depressed']"
arpiem11,"['corsi', 'appalling', 'hypocrisy', 'worse', 'poor', 'related', 'guy', 'sick', 'nothing', 'doesnt', 'illness', 'child', 'die', 'abuse', 'stress', 'feel']"
Stop_Stigma,"['chocolate', 'justification', 'calm', 'cravings', 'hallucinations', 'officially', 'workbooks', 'notebook', 'basement', 'antimed', 'antianxieg', 'antidepressants', 'concussion', 'audio', 'hallucinationsno', 'knocked', 'books', 'emdrnot', 'seemingly', 'suggestions', 'bpdwhy', 'bday', 'book', 'least', 'addictions', 'withdrawal', 'fault', 'writing', 'habit', 'dbt', 'relationships', 'bunch', 'bought', 'couch', 'similar', 'eating', 'notes', 'home', 'committed', 'suicideawareness', 'huge', 'regular', 'dealing', 'lol', 'knew', '15', 'realize', 'good', 'everything', 'bpd']"
Annnaaa6767,"['wrecked', 'paroxetine', 'goooodddd', 'avoided', 'sigh', 'creeping', 'fags', 'gws', 'bread', 'migraines', 'works', 'pissed', 'doctors', 'blades', 'plz', 'mixed', 'summary', 'negative', 'psychologist', 'shame', 'realise', 'quite', 'feelings', 'mum', 'thinks', 'shower', 'drugs', 'surprise', 'started', 'levels', 'personal', 'yesterday', 'point', 'diagnosis', 'went', 'rise', 'whats', 'bitch', 'meds', 'lot', 'psychology', 'twitter', 'sick', 'literally', 'nothing', 'side', 'doesnt', 'mean', 'something', 'getting']"
fairylandgf,"['vigorously', 'fans', 'leave', 'glad', 'alone', 'around', 'air', 'ari', 'youre', 'depression', 'us', 'im']"
authenticitae,"['asuming', 'diving', 'ocean', 'abbie', 'fisherman', 'impossible', 'notice', 'deep', 'stop', 'bts']"
jeyslavs,"['pasayloa', 'kog', 'maayo', 'ikaw', 'bhala', 'battlefield', 'lord', 'addicted', 'nya', 'slowly', 'fighting', 'jud', 'either', 'away', 'eating', 'pain', 'please', 'die', 'win', 'ang', 'take', 'depression', 'anxiety', 'ug', 'like', 'na']"
Godly_rosey,"['yoga', 'realses', 'stressing', 'later', 'morning', 'actually', 'going', 'work', 'stress']"
MagicoAeman,"['satisfied', 'learnt', 'taught', 'whatever', 'far', 'happy', 'want', 'depression']"
_Instaart_,"['berlin', 'nacht', 'trennung', 'geheidert', 'scratch', 'shrouding', 'mega', 'cloud', 'liked', '34', 'dark', 'video', 'omg', 'tag', 'itch', 'und', 'feeling', 'amp', 'cant', 'stress', 'anxiety', 'depression']"
Chicky_Jimin,"['jimin', 'mamavote', 'park', 'aaa2018', 'mma2018', 'baby', 'purple', 'taehyung', 'plaque', 'appreciation', 'spreading', 'globally', 'burnthestagethemovie', 'bts', 'performance', 'army', 'melon', 'tae', 'hella', 'minutes', 'goodnight', 'angel', 'bangtan', 'artist', 'asia', 'culture', 'tears', 'awards', 'award', 'guys', 'korean', 'bang', 'aldy', 'bop', 'talent', 'talented', 'hunn', 'epitome', 'hiphop', 'kakao', 'speech', 'yeh', 'fuckkk', 'omgg', 'fuckkkk', 'engagement', 'viewers', 'wbk', 'foward', 'mybe']"
takemyheartcth,"['notices', 'sadness', 'physically', 'crazy', 'else', 'anymore', 'find', 'family', 'sick', 'anyone', 'fucking', 'even', 'person', 'stress', 'feel', 'depressed', 'im']"
sarrssy,"['maself', 'control', 'social', 'theres', 'honest', 'everything', 'getting', 'hate', 'help', 'still', 'even', 'get', 'ill', 'anxiety', 'depression']"
PeterJev,"['dey', 'default', 'transactions', 'survey', 'evening', 'card', 'fit', 'commits', 'entire', 'shout', 'anyone', 'someone', 'talk', 'could', 'much', 'take', 'even', 'stress', 'tl', 'suicide', 'na', 'go', 'depressed', 'im']"
BethWells1397,"['rule', 'horrific', 'absolutely', 'please', 'illness', 'actually', 'hate', 'let', 'today', 'life', 'fuck', 'mental', 'anxiety', 'suicidal', 'ive', 'depression']"
LalaLaaaaaaans,"['maypa', 'requirements', 'ginagukod', 'aaawww', 'hahahahahahaha', 'dapat', 'mamao', 'gihapon', 'nawng', 'mga', 'pero', 'ang', 'oy', 'stress', 'na', 'ta']"
MrsLJesusFreak,"['delivered', 'alcoholic', 'double', 'ashamed', 'female', 'standard', 'alcoholism', 'typical', 'common', 'alcohol', 'sexual', 'male', 'much', 'stigma', 'oh', 'also', 'amp', 'sin', 'depression']"
GodsBurnerAcct,"['scrubs', 'lsu', 'football', 'yall', 'fuckin', 'love', 'therapy', 'depression']"
ZachRuningWolf,"['mayor', 'elected', 'occupy2decolonizerunningwolf', 'tolerate', 'spousal', 'accepted', 'occupy2decolonizewwwrunningwolforg', 'blessing', 'legged', 'shot', 'killed', '40', 'yrs', 'alone', 'ago', 'bpd', 'let', 'amp', 'see', 'abuse']"
ArbyHotdog,"['physically', 'step', 'understand', 'first', 'therapy', 'need', 'like', 'tr']"
georges852,"['hoping', 'respond', 'definitely', 'soon', 'doesnt', 'make', 'anxiety', 'go']"
_whytell_,"['assumptions', 'detrimental', 'generation', 'wants', 'expectations', 'however', 'decide', 'artist', 'absolute', 'christmas', 'heard', 'cult', 'kind', 'music', 'become', 'wellbeing', 'theres', 'whole', 'havent', 'order', 'die', 'trauma', 'good', 'long', 'person', 'know', 'mental', 'dont', 'suicide', 'go', 'pr']"
cg_curtis,"['wounds', 'bloom', 'asphalt', 'salt', 'consumes', 'growing', 'committing', 'moe', 'closer', 'became', 'reminding', 'difference', 'conclusion', 'asked', 'moshe', 'feinstat', 'spotter', 'swatter', 'colder', 'hide', 'phony', 'pride', 'disillusions', 'destitution', 'yesterday', 'whats', 'water', 'survive', 'pain', 'worry', 'said', 'fly', 'waiting', 'happy', 'pray', 'behind', 'friend', 'getting', 'also', 'coming', 'sai', 'suicide', 'dont', 'hit', 'mo', 'like', 'im', 'th']"
hautepop,"['labour', 'emotional', 'handle', 'thread', 'rts', 'imagine', 'getting', 'anxiety']"
Lucygoosy15,"['groups', 'posts', 'somehow', 'across', 'acting', 'ignore', 'depressing', 'relieve', 'dude', 'article', 'gets', 'account', 'bring', 'group', 'special', 'treatment', 'bts', 'lets', 'gro', 'youre', 'better', 'order', 'look', 'come', 'would', 'help', 'still', 'make', 'yea', 'like', 'dont', 'stress', 'feel', 'get', 'ment']"
puritangoth3327,"['1000', 'adjunctive', 'epilepsy', 'unconventionally', 'anyways', 'adult', 'lamictal', 'prospectively', 'cohort', '1983', 'pedi', '03', 'adults', 'trials', 'peers', 'embarrassing', 'receiving', 'followed', 'clinical', 'patients', 'funny', 'bipolar', 'sorry', 'suffering', 'talking', 'prevention', 'therapy', 'someone', 'much', 'life', 'think', 'end', 'suicide', 'per', 'feel', 'suicidal', 'ive', 'im']"
gregfahlgren,"['focus', 'longer', 'meds', 'issues', 'adhd', 'better', 'late', 'help', 'work', 'depressed']"
chelseychante,"['push', 'everyday', 'thru', 'af', 'work', 'depressed', 'im']"
kristin_bambam,"['certainly', '80', 'recent', 'least', 'told', 'yesterday', 'people', 'depression']"
murray710,"['knows', 'talk', 'thought', 'want', 'mental', 'dont', 'suicidal', 'depressed']"
Tasia9314,"['input', 'christian', 'requ', 'joke', 'either', 'note', 'thanks', 'amp', 'suicide']"
RachelELA15,"['turns', 'medically', 'documented', 'dosage', 'behavior', 'impulse', 'hasnt', '23', 'control', 'working', 'issues', 'adhd', 'med']"
